ChangesetId,CodeChurn
66156,136
66157,3
66158,136
66159,111
66159,111
66159,111
66160,163
66164,1
66164,1
66170,506
66170,506
66174,452
66174,452
66177,376
66177,376
66180,1521
66180,1521
66193,1
66204,139
66206,677
66209,677
66216,136
66219,136
66222,246
66222,246
66224,73270
66224,73270
66231,136
66236,4
66236,4
66253,63
66253,63
66261,90
66261,90
66264,26
66264,26
66264,26
66265,575
66265,575
66265,575
66265,575
66265,575
66267,26
66267,26
66267,26
66267,26
66267,26
66267,26
66271,113
66271,113
66272,0
66273,0
66273,0
66274,45
66274,45
66274,45
66276,0
66276,0
66278,753
66281,0
66281,0
66282,19
66282,19
66282,19
66283,0
66286,0
66287,0
66287,0
66288,0
66288,0
66288,0
66288,0
66288,0
66288,0
66289,0
66289,0
66291,0
66292,0
66294,8
66294,8
66297,0
66297,0
66298,4358
66301,850
66301,850
66304,4
66305,0
66305,0
66308,0
66308,0
66315,0
66315,0
66315,0
66319,1061
66319,1061
66319,1061
66319,1061
66319,1061
66319,1061
66320,6864
66330,1
66330,1
66333,4
66333,4
66335,7
66335,7
66342,350
66342,350
66342,350
66342,350
66348,609
66348,609
66348,609
66353,1
66353,1
66353,1
66353,1
66353,1
66353,1
66353,1
66353,1
66353,1
66353,1
66353,1
66353,1
66353,1
66353,1
66355,38
66355,38
66358,13
66358,13
66359,2
66359,2
66360,73
66360,73
66360,73
66360,73
66360,73
66360,73
66360,73
66360,73
66360,73
66360,73
66360,73
66360,73
66360,73
66360,73
66366,16
66366,16
66366,16
66374,154
66376,2
66376,2
66377,138
66389,52
66389,52
66397,41
66397,41
66400,14
66400,14
66401,1369
66401,1369
66405,14
66405,14
66406,382
66408,86
66409,81
66414,424
66416,5
66416,5
66420,2
66422,473
66422,473
66431,230
66431,230
66438,479
66438,479
66438,479
66438,479
66452,138
66458,317
66458,317
66458,317
66465,138
66466,38
66470,32
66470,32
66480,49
66480,49
66484,26
66484,26
66484,26
66488,3
66491,34
66491,34
66507,603
66507,603
66519,16
66522,2
66522,2
66526,232
66526,232
66533,1
66533,1
66534,2
66534,2
66534,2
66543,124
66546,35
66546,35
66546,35
66550,10
66550,10
66552,15
66552,15
66552,15
66552,15
66552,15
66552,15
66552,15
66552,15
66552,15
66552,15
66552,15
66555,20
66555,20
66555,20
66557,72
66557,72
66559,552
66559,552
66568,1
66568,1
66568,1
66568,1
66568,1
66568,1
66568,1
66568,1
66568,1
66568,1
66568,1
66568,1
66568,1
66568,1
66573,28
66573,28
66576,324
66576,324
66576,324
66593,16
66593,16
66599,176
66599,176
66614,341
66615,753
66616,122
66623,717
66625,205
66626,151
66626,151
66644,232
66644,232
66645,338
66645,338
66645,338
66655,53
66655,53
66655,53
66658,136
66659,367
66659,367
66665,350
66665,350
66669,46
66669,46
66671,102
66671,102
66671,102
66671,102
66671,102
66671,102
66673,2
66673,2
66673,2
66673,2
66673,2
66673,2
66673,2
66673,2
66673,2
66679,12
66679,12
66679,12
66681,40
66684,180
66705,529
66711,2444
66716,64
66716,64
66722,692
66725,254
66726,136
66728,247
66731,3
66731,3
66731,3
66731,3
66731,3
66731,3
66731,3
66731,3
66731,3
66734,274
66734,274
66736,21
66736,21
66737,247
66738,184
66738,184
66743,59
66743,59
66743,59
66744,1
66744,1
66744,1
66744,1
66744,1
66744,1
66744,1
66744,1
66744,1
66747,10
66751,4
66752,136
66758,148
66758,148
66759,200
66759,200
66766,3
66766,3
66768,25
66768,25
66771,60
66771,60
66795,162
66795,162
66801,14
66801,14
66807,206
66807,206
66812,1010
66817,3390
66822,268
66822,268
66845,136
66847,672
66847,672
66847,672
66848,1
66848,1
66848,1
66848,1
66848,1
66848,1
66848,1
66848,1
66848,1
66851,3
66852,136
66853,19
66853,19
66853,19
66857,4
66857,4
66866,17
66866,17
66867,42
66867,42
66867,42
66873,43
66873,43
66891,1231
66891,1231
66894,1
66902,34
66902,34
66902,34
66903,162
66903,162
66907,133
66912,143
66913,237
66913,237
66928,22
66928,22
66929,67
66929,67
66932,1
66936,1
66936,1
66938,176
66938,176
66945,4
66945,4
66949,1
66952,2
66957,33
66957,33
66965,162
66965,162
66973,67
66973,67
66989,476
66999,53
66999,53
66999,53
67001,62
67001,62
67002,21
67002,21
67002,21
67007,144
67007,144
67007,144
67008,133
67015,9
67015,9
67017,1
67017,1
67020,2
67024,249
67024,249
67026,1
67027,46
67028,711
67028,711
67039,1
67039,1
67040,1
67040,1
67054,1659
67094,4787
67094,4787
67095,28
67095,28
67102,1
67102,1
67107,1862
67107,1862
67109,162
67109,162
67115,614
67115,614
67127,254
67138,3084
67138,3084
67155,15
67155,15
67160,1
67160,1
67161,118
67161,118
67164,15
67164,15
67166,168
67166,168
67179,7735
67179,7735
67185,12
67191,1
67200,296
67227,235
67227,235
67228,247
67228,247
67244,174
67244,174
67244,174
67253,2472
67253,2472
67254,1012
67254,1012
67267,58
67270,271
67272,363
67285,159
67285,159
67288,143
67288,143
67291,301
67294,18
67294,18
67294,18
67295,168
67295,168
67299,118
67299,118
67304,76
67304,76
67306,14
67312,1
67313,252
67313,252
67314,101
67314,101
67315,71
67315,71
67320,174
67320,174
67330,416
67330,416
67331,66
67336,166
67339,9
67339,9
67343,2
67345,1
67371,33
67371,33
67374,2
67391,38
67391,38
67395,4
67395,4
67405,161
67405,161
67406,68
67410,1890
67410,1890
67410,1890
67432,70
67433,1
67438,112
67438,112
67438,112
67444,104
67447,1
67447,1
67451,2
67472,1
67472,1
67474,256
67474,256
67479,845
67479,845
67480,4070
67480,4070
67482,103
67484,48
67484,48
67484,48
67484,48
67489,128
67500,1
67500,1
67504,93
67504,93
67514,777
67514,777
67529,1162
67533,992
67539,11
67539,11
67541,305
67541,305
67549,2546
67549,2546
67549,2546
67549,2546
67554,25
67554,25
67559,1001
67559,1001
67569,159
67569,159
67580,149
67580,149
67585,59
67587,3
67587,3
67591,252
67596,86
67596,86
67623,33
67625,3
67627,277
67627,277
67631,298
