"Project Name","Checkpoint Name","Created On","Lines","Statements","Percent Comment Lines","Percent Documentation Lines","Classes, Interfaces, Structs","Methods per Class","Calls per Method","Statements per Method","Line Number of Most Complex Method*","Name of Most Complex Method*","Maximum Complexity*","Line Number of Deepest Block","Maximum Block Depth","Average Block Depth","Average Complexity*","Statements at block level 0","Statements at block level 1","Statements at block level 2","Statements at block level 3","Statements at block level 4","Statements at block level 5","Statements at block level 6","Statements at block level 7","Statements at block level 8","Statements at block level 9","EnCodedFileName"
"temp_horizon_csharp","source","12 Aug 2016","35","15","45.7","0.0","0","0.00","0.00","0.00","","","0","1","0","0.00","0.00","15","0","0","0","0","0","0","0","0","0","96ca4c76ddaa5e30b0fd2c66a17ab8748bffd009086571a6fb685afc16078f37"
"temp_horizon_csharp","source","12 Aug 2016","12","5","0.0","0.0","1","1.00","1.00","1.00","7","WebApiApplication.Application_Start()","1","9","2","0.60","1.00","3","1","1","0","0","0","0","0","0","0","593980ee2f5f00cf42b1f08fb25092a066a7e67f0ed6f10a67e24152aff14eff"
"temp_horizon_csharp","source","12 Aug 2016","26","10","0.0","0.0","1","1.00","4.00","4.00","9","WebApiConfig.Register(HttpConfiguration config)","1","11","2","0.90","1.00","5","1","4","0","0","0","0","0","0","0","bbc6624c3573388429bd8d7a6aa1d2fae4311d79b07b8714dd1e4da3a829a0b0"
"temp_horizon_csharp","source","12 Aug 2016","87","61","1.1","0.0","1","3.00","12.67","14.00","35","CallstackAnalysisController.AnalyzeCallstackAsync(string data, ExceptionResult result)","10","75","6","2.07","4.00","14","5","19","14","5","3","1","0","0","0","9871b9e3116ba8d9e432d18a039f67164d82c4e2a5e5e096776119f45c12d198"
"temp_horizon_csharp","source","12 Aug 2016","38","25","0.0","0.0","1","3.00","1.00","4.33","23","DumpAnalysisController.AnalyzeDumpFileAsync(string dumppath, DumpResult result)","4","14","2","1.24","2.00","7","5","13","0","0","0","0","0","0","0","c2f937530771c2828734011100d7e8476c101e5c476e90fedfde2a09d202f317"
"temp_horizon_csharp","source","12 Aug 2016","95","61","0.0","0.0","2","2.00","9.75","8.75","23","DumpUploaderController.Post()","5","86","5","1.79","2.80","16","7","22","8","6","2","0","0","0","0","a579f13be597a4dc151cfaaca15de4d7580c7717779991d0a60decf29ef1319c"
"temp_horizon_csharp","source","12 Aug 2016","114","81","0.9","0.0","1","4.00","13.00","15.75","28","ExceptionAnalysisController.AnalyzeDumpFileAsync(string dumppath, ExceptionResult result)","14","96","6","2.26","4.25","12","6","29","22","8","3","1","0","0","0","1c650e6b821add2635d1031aeaaa06d239be5a8396293a42f6f29ab092dde532"
"temp_horizon_csharp","source","12 Aug 2016","132","100","0.0","0.0","1","8.00","7.75","9.75","18","MiniDumpAnalysis.GetJobInformation(AnalyticsContext analytics, Guid? jobguid)","9","35","3","1.67","3.75","14","8","75","3","0","0","0","0","0","0","7822c9aef7e5eb21b504ee63ab40e7f8be9114e4ff8ffd25ad165d0369c9c6b4"
"temp_horizon_csharp","source","12 Aug 2016","60","41","0.0","0.0","1","3.00","3.33","9.33","24","ProcessAnalysisController.AnalyzeDumpFileAsync(string dumppath, ProcessResult result)","4","43","3","1.63","2.00","8","5","22","6","0","0","0","0","0","0","feab338630cb01fb30fb141a0030d7836d37e35a89431448c9a2e2c778519bc7"
"temp_horizon_csharp","source","12 Aug 2016","67","47","0.0","0.0","1","3.00","6.33","10.33","27","ProductAnalysisController.AnalyzeDumpFileAsync(string dumppath, ProductResult result)","6","54","4","1.74","2.67","11","5","19","9","3","0","0","0","0","0","79ed8ecb06c7dddb27a8b61e54936306879fbb85241ed486bdff495276e3b61b"
"temp_horizon_csharp","source","12 Aug 2016","124","107","0.0","0.0","4","7.25","0.93","1.10","38","Job.Equals(object obj)","4","8","3","1.64","1.30","7","29","66","5","0","0","0","0","0","0","5b6379631f6db15c6da3700cf924705f32e5f968073ca61442a90a7970b46e0e"
"temp_horizon_csharp","source","12 Aug 2016","14","21","0.0","0.0","1","6.00","0.00","0.00","7","DumpResult.SystemUptime.set()","1","7","2","1.43","1.00","3","6","12","0","0","0","0","0","0","0","43f841617f686530ede947a0ac9c49700d0ae81542431612cde3b2b82df5866d"
"temp_horizon_csharp","source","12 Aug 2016","23","30","0.0","0.0","1","9.00","0.00","0.22","7","ExceptionResult.Links.set()","1","13","2","1.50","1.00","3","9","18","0","0","0","0","0","0","0","4a79785340a5cc2880cbcda9451bf75695752e9a61cdabc60ccb4164e3c08fae"
"temp_horizon_csharp","source","12 Aug 2016","16","32","0.0","0.0","1","10.00","0.00","0.00","5","ProcessResult.ManageCallstack.set()","1","5","2","1.56","1.00","2","10","20","0","0","0","0","0","0","0","f201284ccac4a580648d2bfce0b6b40affe939f93cb783356de4b52c7139cbdb"
"temp_horizon_csharp","source","12 Aug 2016","12","17","0.0","0.0","1","5.00","0.00","0.00","6","ProductResult.Job.set()","1","6","2","1.47","1.00","2","5","10","0","0","0","0","0","0","0","8e42fafd7ddfda1678a81ac45b51e8e99d8e03fc75c0e4b90993282f97e67e0b"
"temp_horizon_csharp","source","12 Aug 2016","11","12","0.0","0.0","1","3.00","0.00","0.00","7","UploadResult.FileLength.set()","1","7","2","1.25","1.00","3","3","6","0","0","0","0","0","0","0","e0624cef04160c92cfca38f0e360e3fc7993e17b3d66581e728b5104e0e19e58"
"temp_horizon_csharp","source","12 Aug 2016","104","106","1.0","0.0","4","7.50","0.60","0.77","38","External.Equals(object obj)","4","8","3","1.62","1.19","7","30","65","4","0","0","0","0","0","0","5f83b99763c78b7d7eb3faf5ee63cea94818d7263c3c3a80f353c021dc9478f8"
"temp_horizon_csharp","source","12 Aug 2016","36","15","47.2","0.0","0","0.00","0.00","0.00","","","0","1","0","0.00","0.00","15","0","0","0","0","0","0","0","0","0","c15fc6b852e3d566a16bb132d222a2d56d045363c08d56a4778b368a0dc55957"
"temp_horizon_csharp","source","12 Aug 2016","14","21","0.0","0.0","1","6.00","0.00","0.00","7","DumpResult.SystemUptime.set()","1","7","2","1.43","1.00","3","6","12","0","0","0","0","0","0","0","e44d7dff43b122b1a1f8f032680726300b1d4dc496eea6fc4f402f1fea33a896"
"temp_horizon_csharp","source","12 Aug 2016","23","30","0.0","0.0","1","9.00","0.00","0.22","7","ExceptionResult.Links.set()","1","13","2","1.50","1.00","3","9","18","0","0","0","0","0","0","0","ea483d12c5790b86cb91a6944a2836b2b54728450ba4246314aed7a729b4aae3"
"temp_horizon_csharp","source","12 Aug 2016","16","32","0.0","0.0","1","10.00","0.00","0.00","5","ProcessResult.ManageCallstack.set()","1","5","2","1.56","1.00","2","10","20","0","0","0","0","0","0","0","f3f588772f1e64840999d81c5e95cca3bcfda210c362584eaf761dbb5d53c551"
"temp_horizon_csharp","source","12 Aug 2016","12","13","0.0","0.0","1","3.00","0.00","0.00","8","ProductResult.Job.set()","1","8","2","1.15","1.00","4","3","6","0","0","0","0","0","0","0","b0b512d18b61ef22d6d46f7653ed0df142c522ad45e126e79b13cce49c32b414"
"temp_horizon_csharp","source","12 Aug 2016","11","12","0.0","0.0","1","3.00","0.00","0.00","7","UploadResult.FileLength.set()","1","7","2","1.25","1.00","3","3","6","0","0","0","0","0","0","0","e107fd0835ebb2f84b858107e846002e77a976ed44b395a3b5fe0ae81312c8f8"
"temp_horizon_csharp","source","12 Aug 2016","103","74","1.9","0.0","1","9.00","5.56","5.44","12","testCalculator.testGetQuatAndMonthMBTFWhenInputYearReturnYearMTBF()","1","14","2","1.55","1.00","8","17","49","0","0","0","0","0","0","0","4c1c8cd1d62d2adcd61121fae54f7c16c8ceb3add38ddd91c5cd8b7ca80c723c"
"temp_horizon_csharp","source","12 Aug 2016","36","15","47.2","0.0","0","0.00","0.00","0.00","","","0","1","0","0.00","0.00","15","0","0","0","0","0","0","0","0","0","64bdc6126f2d8c3f231674475fd088c60a971e681fd320e8df165c330b103008"
"temp_horizon_csharp","source","12 Aug 2016","97","43","6.2","0.0","2","3.50","2.43","3.00","15","TestCalc.ICalculator.GetBaselines()","1","17","2","1.23","1.00","11","11","21","0","0","0","0","0","0","0","ab5a7af89bb75b8c7706f1e546396ed8cd05373665c8cb9eb3393dd1332555b6"
"temp_horizon_csharp","source","12 Aug 2016","36","15","47.2","0.0","0","0.00","0.00","0.00","","","0","1","0","0.00","0.00","15","0","0","0","0","0","0","0","0","0","dafb769d32376520a0b40fc5c66fe88ee15d040af6a4e8f2c52616871f3889a7"
"temp_horizon_csharp","source","12 Aug 2016","11","6","0.0","0.0","1","0.00","0.00","0.00","","","0","9","1","0.17","0.00","5","1","0","0","0","0","0","0","0","0","61671a7608db11f6efb2192ed57895944852aef0a11bdd08544dadcdd660e102"
"temp_horizon_csharp","source","12 Aug 2016","76","46","0.0","1.3","1","10.00","1.80","2.50","18","Startup.Configure(IApplicationBuilder app, IHostingEnvironment env, ILoggerFactory loggerFactory)","1","34","4","1.52","1.00","14","5","18","7","2","0","0","0","0","0","a5c884380396f9826c1f47e8ad21696fec7e82c8286ac53132fa4000329e9382"
"temp_horizon_csharp","source","12 Aug 2016","65","48","0.0","0.0","1","4.00","4.50","6.00","41","MTBF.GetResult(string baselines ,string workflows,string jobSources)","6","56","4","1.50","2.75","8","14","21","4","1","0","0","0","0","0","f53c9ba049f3315fa1ae48b7e98be895823b89985c9def85ee9ba0125d3f788c"
"temp_horizon_csharp","source","12 Aug 2016","419","234","1.4","0.0","3","8.33","7.32","7.08","216","Calculator._MTBF_(EnumerableRowCollection<MTBFDataRow> DT, string year, string quater, int month,bool isWinchsafe)","7","230","5","2.05","2.19","16","29","128","52","7","2","0","0","0","0","a47e1377d37be58abbcfc3be9dae5b1ff8a55dcbba8a2375db2d22569037f691"
"temp_horizon_csharp","source","12 Aug 2016","39","40","2.6","0.0","4","2.75","0.00","0.00","9","Detail.NoCrashPer.set()","1","9","2","1.38","1.00","7","11","22","0","0","0","0","0","0","0","f41e2c5a995405ad903dcea49b4bb5ca587d72fa6f936f2bc70e6b1c459a0c16"
"temp_horizon_csharp","source","12 Aug 2016","59","36","0.0","0.0","1","3.00","2.33","7.33","16","MySQLAccessor.MyConn()","3","28","4","1.67","2.00","10","4","11","10","1","0","0","0","0","0","cc845476b160b15e28588abf8139c48e7ef3818e8ab5e331e6f89c39dc9eb449"
"temp_horizon_csharp","source","12 Aug 2016","295","148","2.4","0.0","1","16.00","8.25","7.44","205","WinchsafeCalculator._MTBF_(EnumerableRowCollection<MTBFDataRow> DT, string year, string quater, int month)","6","105","4","1.96","2.19","11","18","86","32","1","0","0","0","0","0","34f5c377b08873ec7096e4658e1667ca31fa522b377287168589b97e62e4ebec"
"temp_horizon_csharp","source","12 Aug 2016","37","16","45.9","0.0","0","0.00","0.00","0.00","","","0","1","0","0.00","0.00","16","0","0","0","0","0","0","0","0","0","257838390e78ba44f45926c1963b6772f9999897e5ef26f6e592a087fff98432"
"temp_horizon_csharp","source","12 Aug 2016","33","31","0.0","0.0","4","2.00","0.00","0.00","9","Detail.Mtbf.set()","1","9","2","1.29","1.00","7","8","16","0","0","0","0","0","0","0","77ae3572998868e22978f20d784809ca638a03f4bd4d2889fb9cdd2b09358663"
"temp_horizon_csharp","source","12 Aug 2016","36","15","47.2","0.0","0","0.00","0.00","0.00","","","0","1","0","0.00","0.00","15","0","0","0","0","0","0","0","0","0","c6247c65c6c95a9e3c81aed22c03aa5cc4cf749df7730dc775df6e2cd714b0fa"
"temp_horizon_csharp","source","12 Aug 2016","13","8","0.0","0.0","1","0.00","0.00","0.00","","","0","1","0","0.00","0.00","8","0","0","0","0","0","0","0","0","0","b2d4ae3ed0cec479743705ab4bae7c111a5722bb685485aa794a2daae7406e61"
"temp_horizon_csharp","source","12 Aug 2016","44","16","0.0","0.0","1","4.00","2.25","1.00","11","mbtfService.GetWorkflows()","1","13","2","0.81","1.00","7","5","4","0","0","0","0","0","0","0","c87051c842eb57703168560475752b2b550f52368b17c7fe647260bff715eeda"
"temp_horizon_csharp","source","12 Aug 2016","105","53","0.0","0.0","1","7.00","3.29","4.29","29","AboutBox.AssemblyTitle.get()","3","37","5","2.08","1.86","10","7","13","16","6","1","0","0","0","0","219103d2a92b2fff959bb102c888da906152eb7cda82c28ff0ad366b16c26a2e"
