Team,CO,Component,SubComponent,Folder,File
Undefined,,Undefined,,,
,,,,Analytics,
T-Primer,ZHANG Peng,Analytics,,Analytics\SystemBehavior,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\AnalyticsCube,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\AnalyticsCube\Analytics,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\AnalyticsCube\AnalyticsReport,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsAPI,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsAPI\App_Data,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsAPI\App_Data\Upload,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsAPI\App_Start,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsAPI\Controllers,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsAPI\Models,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsApiModels,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\config,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\src,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\src\app,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\src\app\components,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\src\app\components\analyse-file,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\src\app\components\analyse-result,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\src\app\components\analyse-text,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\src\app\components\crash-analyse-result,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\src\app\components\crash-list,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\src\app\components\demo,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\src\app\components\details,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\src\app\components\exception,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_Angular2\src\app\components\home,
