Component,SubComponent,Team,Type,CO,Stable,Maturity,ProjectType,Segment,MarketingNames,DeploymentRestrictions,Parallelizable,Folder,TFSAreaPath,ToolCode,Maturity,Parallelizable,MarketingNames,Segment,ProjectType
Undefined,,Undefined,,,,,,,,,,
Shared utilities,,T-Primer,,LI Ziming,,,,,,,,
,SharedLibrary,,,LI Ziming,true,,,,,,,
,ComImporter,,,LI Ziming,true,,,,,,,
,Generic Routines,,,LI Ziming,,,,,,,,
,ProcessHandler,,,LI Ziming,true,,,,,,,
,XmlLiteHelper,,,LI Ziming,true,,,,,,,
,FwkToolkit,,,LI Ziming,true,,,,,,,
,UnitSystem,,,LI Ziming,true,,,,,,,
,Configuration,,,ZHANG Peng,true,,,,,,,
ThirdParty,,T-Primer,,LI Ziming,,,,,,,,
,VLD,,,LI Ziming,true,,,,,,,
,Expat,,,LI Ziming,true,,,,,,,
,MxBulkData,,,LI Ziming,true,,,,,,,
,Zlib,,,LI Ziming,true,,,,,,,
,Python,,,ZHANG Peng,true,,,,,,,
,SlbLicense,,,LI Ziming,true,,,,,,,
,TBB,,,HUANG Xin,true,,,,,,,
rp66,,Digital Deliverable,,Jiang ZHAO,true,Obsolete,,,,,,
,rp66a,,,,,,,,,,,
,rp66lib,,,,,,,,,,,
,rww,,,,,,,,,,,
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\IntegrationSummary
,,,,,,,,,,,,,HzFramework\Utilities\MsTest\FwkUtilities_MsTest\Properties
,,,,,,,,,,,,,HzFramework\Utilities\MsTest\FwkUtilities_MsTest
,,,,,,,,,,,,,HzFramework\Utilities\PDF2TIFF
,,,,,,,,,,,,,HzFwkUtils\MaxWellGraphicalComponentViewer
,,,,,,,,,,,,,HzFwkUtils\PDFAutoCompare
,,,,,,,,,,,,,HzFramework\Dex\Common\OsddConverter
,,,,,,,,,,,,,HzFwkUtils\Temp\PDFUtility
,,,,,,,,,,,,,HzFwkUtils\MwResourceMonitor
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\BoreHoleSizeCasingRecord
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\ComplexComponentViewer
,,,,,,,,,,,,,HzProducts\GenericComponents\SlbGrid2
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\GCTableOfContents
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\GCGroupLabel
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\GraphicalStandAlonePrintHeader
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\SurveyRecord
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\CompositeSummary
,,,,,,,,,,,,,HzProducts\GenericComponents\ParameterZoningMediator
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\JobEventSummary
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\RemarksEquipSummary
,,,,,,,,,,,,,HzProducts\utilities\HeaderTypeProperty
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\BoreholeFluids
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\Tail
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\Disclaimer
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\OperationRunSummary
,,,,,,,,,,,,,HzProducts\Viewers\Deliverables\SoftwareVersionRpt
,,,,,,,,,,,,,HzProducts\Viewers\SummaryRecordViewer
,,,,,,,,,,,,,HzProducts\Viewers\WitnessRemoteClientCodeSigner
,,,,,,,,,,,,,HzFramework\Utilities\Formatting
,,,,,,,,,,,,,HzAPI\Interface
FLCN Feature,,Workflow,,Zhang Jie,,,,,,,,
,SelfIdentification,,,,,,,,,,,
,,,,,,,,,,,,,HzAPI\BaseImpl
,,,,,,,,,,,,,HzAPI\Interface
,,,,,,,,,,,,,HzAPI\Include
,,,,,,,,,,,,,HzAPI\Contracts
,,,,,,,,,,,,,HzFramework\SelfIdentification
,,,,,,,,,,,,,HzSysApps\Ensembles\PlaceHolder
WL Acq Cracking,,Workflow,,Xu Dawei,,,,,,,,
,WL Acq Cracking,,,,,,,,,,,
,,,,,,,,,,,,,hzAPI
,,,,,,,,,,,,,hzAPI\Interface
,,,,,,,,,,,,,hzAPI\Mock
,,,,,,,,,,,,,HzFramework\Acquisition\CmdHandler
,,,,,,,,,,,,,HzFramework\Acquisition\Common
,,,,,,,,,,,,,HzFramework\Acquisition\DataPump
,,,,,,,,,,,,,HzFramework\Acquisition\DataPumpMediator
,,,,,,,,,,,,,HzFramework\Acquisition\GTest
,,,,,,,,,,,,,HzFramework\Acquisition\ToolCtrlManager
,,,,,,,,,,,,,HzFramework\Acquisition\WirelinePowerManager
,,,,,,,,,,,,,HzFramework\Acquisition\Wireline
,,,,,,,,,,,,,HzFramework\Mock\Acquisition
,,,,,,,,,,,,,HzProducts\controls\Wafe\UI
,,,,,,,,,,,,,HzProducts\UIServers
,,,,,,,,,,,,,HzProducts\Editors\StableInterval
,WL Acq Cracking Base,,,,,,,,,,,
,,,,,,,,,,,,,hzAPI
,,,,,,,,,,,,,HzFramework
,,,,,,,,,,,,,hzAPI\BaseImpl\gtest
,,,,,,,,,,,,,hzAPI\Interface
Parameter,,Workflow,,Chenhui Zhang,,,,,,,,
,ParameterBase,,,,,,,,,,,
,,,,,,,,,,,,,HzAPI\BaseImpl
,,,,,,,,,,,,,HzAPI\Include
,,,,,,,,,,,,,HzAPI\Interface
,,,,,,,,,,,,,HzAPI\BaseImpl\GTest\BaseImpl_GTest
DnM RT Acquisition,,Workflow,,Chenhui Zhang,,,,,,,,
,DnM RT Acquisition Base,,,,,,,,,,,
,,,,,,,,,,,,,HzAPI\BaseImpl
,,,,,,,,,,,,,HzAPI\Include
,,,,,,,,,,,,,HzAPI\Interface
,,,,,,,,,,,,,HzProducts\Managers\GenericChannelManager
,,,,,,,,,,,,,hzFramework\Acquisition\AcquisitionHelper
,DnM RT Acquisition Connection,,,,,,,,,,,
,,,,,,,,,,,,,HzProducts\controls\HSPM
,DnM RT Acquisition Monitors,,,,,,,,,,,
,,,,,,,,,,,,,HzProducts\Viewers\DepthMonitor
,,,,,,,,,,,,,HzProducts\Viewers\FrameDecoderStatusMonitor
,,,,,,,,,,,,,HzProducts\Viewers\HSPMStatusMonitor
,,,,,,,,,,,,,HzProducts\Viewers\HSPMTelemetryMonitor
,,,,,,,,,,,,,HzProducts\Viewers\ToolfaceMonitorViewer
,DnM RT Acquisition,,,,,,,,,,,
,,,,,,,,,,,,,HzProducts\Managers\GenericChannelManager
,,,,,,,,,,,,,HzFramework\Execution\FrameworkTasks\AcqTasks
,DnM Data Pump,,,,,,,,,,,
,,,,,,,,,,,,,hzFramework\Acquisition\DataPump
,DnM RT Acquisition Test,,,,,,,,,,,
,,,,,,,,,,,,,HzAPI\Mock
,,,,,,,,,,,,,HzFramework\Mock\Acquisition
,,,,,,,,,,,,,hzFramework\Acquisition\GTest
,,,,,,,,,,,,,HzFramework\Acquisition\AutoTest\Acquisition_AutoTest
,,,,,,,,,,,,,HzFramework\Acquisition\AutoTest\Acquisition_AutoTest\Planck
,Planck,,,,,,,,,,,
,,,,,,,,,,,,,HzFramework\Acquisition\Planck
,,,,,,,,,,,,,HzProducts\Controls\PlanckPanelControl
DnI_Survey,,Workflow,,Chenhui Zhang,,,,,,,,
,Survey,,,,,,,,,,,
,,,,,,,,,,,,,HzAPI\BaseImpl
,,,,,,,,,,,,,HzAPI\Include
,,,,,,,,,,,,,HzAPI\Interface
,,,,,,,,,,,,,HzFramework\Common\Survey
,,,,,,,,,,,,,HzFwkUtils\DMAG
,,,,,,,,,,,,,HzProducts\Viewers\SurveyMonitor
,,,,,,,,,,,,,HzProducts\GenericComponents\ElevationDiagram
,,,,,,,,,,,,,HzProducts\GenericComponents\SurveyUnitConverter
,,,,,,,,,,,,,HzProducts\Managers\DnIInits
,,,,,,,,,,,,,HzProducts\Managers\SurveyMgr
,,,,,,,,,,,,,HzProducts\Ensembles\DnMSession
,,,,,,,,,,,,,HzProducts\Ensembles\Survey
,,,,,,,,,,,,,HzProducts\UIServers
Equipment,,Workflow,,Chenhui Zhang,,,,,,,,
,EquipmentBase,,,,,,,,,,,
,,,,,,,,,,,,,HzAPI\BaseImpl
,,,,,,,,,,,,,HzAPI\Include
,,,,,,,,,,,,,HzAPI\Interface
,,,,,,,,,,,,,HzAPI\BaseImpl\GTest\BaseImpl_GTest
,,,,,,,,,,,,,HzFramework\Mock\ToolStringHandler
,ToolStringHandler,,,,,,,,,,,
,,,,,,,,,,,,,HzFramework\Common\ToolString
,Equipment and RunSetup,,,,,,,,,,,
,,,,,,,,,,,,,HzProducts\UIServers
,EquipmentApp,,,,true,Obsolete,,,,,,
,,,,,,,,,,,,,HzSysApps\Ensembles\AuxiliaryEquipment
,EquipmentUtility,,,,true,Obsolete,,,,,,
,,,,,,,,,,,,,HzTestTools\Tools\EquipmentTester
,,,,,,,,,,,,,HzTestTools\Tools\MeasurePointLocator
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,
,,,,,,,,,,,,,HzAPI\BaseImpl
,,,,,,,,,,,,,HzAPI\BaseImpl\GTest\BaseImpl_GTest
,,,,,,,,,,,,,HzAPI\Include
,,,,,,,,,,,,,HzAPI\Interface
,,,,,,,,,,,,,HzAPI\Mock
,,,,,,,,,,,,,HzFramework\Acquisition\Samples\TestTFFReader
,,,,,,,,,,,,,HzFramework\Acquisition\TimeFrameFile
,,,,,,,,,,,,,HzProducts\Editors\RecordedMode
,,,,,,,,,,,,,HzFramework\Acquisition\AutoTest\Acquisition_AutoTest
,,,,,,,,,,,,,HzFramework\Execution\FrameworkTasks\AcqTasks
,,,,,,,,,,,,,HzFramework\Acquisition\GTest
WL Calibration,,Workflow,,Xu Dawei,,,,,,,,
,,,,,,,,,,,,,hzAPI
,,,,,,,,,,,,,hzAPI\Interface
,,,,,,,,,,,,,HzFramework\DataStore\Clients\CalibrationPackage
,,,,,,,,,,,,,HzFramework\DataStore\Clients\CalibrationCollector
,,,,,,,,,,,,,HzProducts\Managers\CalibrationManager
Coiled Tubing,,Workflow,,Xu Dawei,,,,,,,,
,,,,,,,,,,,,,hzAPI
,,,,,,,,,,,,,HzSysApps\Digital\ACTS
Tasking,,Workflow,,Xu Dawei,,,,,,,,
,,,,,,,,,,,,,hzAPI
,,,,,,,,,,,,,hzAPI\Interface
,,,,,,,,,,,,,HzFramework\Execution\FrameworkTasks\AcqTasks
,,,,,,,,,,,,,HzFramework\Execution\TaskRunManagers
,,,,,,,,,,,,,HzProducts\controls\GenericTaskUIP
,,,,,,,,,,,,,HzProducts\controls\WorkflowUIP\SlbHzWorkflowUI
,,,,,,,,,,,,,HzProducts\GenericComponents\TaskList\UI
,,,,,,,,,,,,,HzProducts\Tasks
Simulation - Application Test,,Workflow,,Xu Dawei,,,,,,,,
,,,,,,,,,,,,,hzAPI
,,,,,,,,,,,,,hzAPI\BaseImpl\gtest
,,,,,,,,,,,,,HzFramework\Acquisition\Samples
,,,,,,,,,,,,,HzFramework\Acquisition\SimGeoModels
,,,,,,,,,,,,,HzProductsAPI\NewSimModuleUIImpl
,,,,,,,,,,,,,HzProducts\Tools\WL_Simulator
APIBaseImpl,,Workflow,,Xu Dawei,,,,,,,,
,,,,,,,,,,,,,hzAPI
WL BaseImpl,,Workflow,,Xu Dawei,,,,,,,,
,,,,,,,,,,,,,HzAPI\BaseImpl\AutoTest2\BaseImpl2_AutoTest
,,,,,,,,,,,,,HzAPI\BaseImpl\GTest\BaseImpl_GTest
,,,,,,,,,,,,,HzAPI\Include
,,,,,,,,,,,,,HzAPI\BaseImpl
FrontEndService,,Workflow,,Wang Zhen,,,,,,,,
,,,,,,,,,,,,,HzAPI
,,,,,,,,,,,,,HzSysApps\Ensembles\WLSurface
,,,,,,,,,,,,,HzWafe\FrontEnd
,,,,,,,,,,,,,HzFramework\Utilities\CatchUpProgressForm
Tool Control,,Workflow,,Xu Dawei,,,,,,,,
,,,,,,,,,,,,,hzAPI
,,,,,,,,,,,,,HzFramework\Acquisition\FwkToolControlModules
TnD,,Workflow,,Xu Dawei,,,,,,,,
,,,,,,,,,,,,,hzAPI
,,,,,,,,,,,,,HzProducts\Managers\TnDTestResultUIP
Creep Computation,,Workflow,,Zhang Jie,true,Obsolete,,,,,,
,,,,,,,,,,,,,hzAPI
Pass Manager,,Workflow,,Wang Qing,,,,,,,,
,,,,,,,,,,,,,hzAPI
,,,,,,,,,,,,,HzProducts\GenericComponents\PassPlanSupport
,,,,,,,,,,,,,HzProducts\Managers\PassManager\PassManagerUI
Computation,,T-Primer,,ZHU Yu,false,,,,,,,
,,,,,,,,,,,,,HzAPI\BaseImpl
,,,,,,,,,,,,,HzAPI\BaseImpl\GTest\BaseImpl_GTest
,,,,,,,,,,,,,HzAPI\Include
,,,,,,,,,,,,,HzAPI\Interface
,,,,,,,,,,,,,HzAPI\Mock
,,,,,,,,,,,,,HzFramework\Computation
,,,,,,,,,,,,,HzFramework\Mock\Computation
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,
,,,,,,,,,,,,,hzapi\interface
,,,,,,,,,,,,,HzSysApps\Ensembles\WSD
,,,,,,,,,,,,,HzSysApps\Ensembles\Completion
,,,,,,,,,,,,,HzProducts\Managers\RunManager
,,,,,,,,,,,,,HzProducts\GenericComponents\SetupConsoleMediator
,,,,,,,,,,,,,HzProducts\GenericComponents\WellSketchControl
,,,,,,,,,,,,,HzProducts\GenericComponents\WellSketchHelper
,,,,,,,,,,,,,HzProducts\Editors\WellboreEditor
,,,,,,,,,,,,,HzProducts\Editors\WellboreSketch
