"path","filename","lineNumber","line"
"Based on changeset 87149","","",""
"HzAPI\BaseImpl\AcqModuleImpl.cpp","AcqModuleImpl.cpp","2242","        m_Error.SetCustomMsg(CComBSTR(L""Failed to get CatCalibrationCollector Interfaces""));"
"HzAPI\Include\DnMSingleElementSegmentImpl.h","DnMSingleElementSegmentImpl.h","131","	 Custom Properties need to be registered using OsddCatalogLoader.exe (similar to channels and parameters)."
"HzAPI\Include\DnMSingleElementSegmentImpl.h","DnMSingleElementSegmentImpl.h","132","	 For Example: OsddCatalogLoader.exe <MyCustomProperties.xml>"
"HzAPI\Include\DnMSingleElementToolImpl.h","DnMSingleElementToolImpl.h","134","	Custom Properties need to be registered using OsddCatalogLoader.exe (similar to channels and parameters)."
"HzAPI\Include\DnMSingleElementToolImpl.h","DnMSingleElementToolImpl.h","135","	For Example: OsddCatalogLoader.exe <MyCustomProperties.xml>"
"HzAPI\Include\DownholeCompositeEquipmentImpl.h","DownholeCompositeEquipmentImpl.h","180","    Custom Properties need to be registered using OsddCatalogLoader.exe (similar to channels and parameters)."
"HzAPI\Include\DownholeCompositeEquipmentImpl.h","DownholeCompositeEquipmentImpl.h","181","    For Example: OsddCatalogLoader.exe <MyCustomProperties.xml>"
"HzAPI\Include\SurfaceEquipmentImpl.h","SurfaceEquipmentImpl.h","141","    Custom Properties need to be registered using OsddCatalogLoader.exe (similar to channels and parameters)."
"HzAPI\Include\SurfaceEquipmentImpl.h","SurfaceEquipmentImpl.h","142","    For Example: OsddCatalogLoader.exe <MyCustomProperties.xml>"
"HzAPI\Include\ToolElementImpl.h","ToolElementImpl.h","217","    Custom Properties need to be registered using OsddCatalogLoader.exe (similar to channels and parameters)."
"HzAPI\Include\ToolElementImpl.h","ToolElementImpl.h","218","    For Example: OsddCatalogLoader.exe <MyCustomProperties.xml>"
"HzAPI\Include\WlSingleElementSegmentImpl.h","WlSingleElementSegmentImpl.h","183","	Custom Properties need to be registered using OsddCatalogLoader.exe (similar to channels and parameters)."
"HzAPI\Include\WlSingleElementSegmentImpl.h","WlSingleElementSegmentImpl.h","184","	For Example: OsddCatalogLoader.exe <MyCustomProperties.xml>"
"HzAPI\Include\WlSingleElementToolImpl.h","WlSingleElementToolImpl.h","120","	Custom Properties need to be registered using OsddCatalogLoader.exe (similar to channels and parameters)."
"HzAPI\Include\WlSingleElementToolImpl.h","WlSingleElementToolImpl.h","121","	For Example: OsddCatalogLoader.exe <MyCustomProperties.xml>"
"HzAPI\Interface\AcqModule.h","AcqModule.h","202","    HRESULT PutCatCaliCollector([in] ISlbCatCalibrationCollectorFwk* pCatCalibrationCollectorFwk);"
"HzAPI\Interface\AuxiliaryEquipment.h","AuxiliaryEquipment.h","462","	the property should be registered using OSDDCatalogLoader utility."
"HzAPI\Interface\Calibration.h","Calibration.h","374","__interface ISlbCatCalibrationCollectorFwk : IUnknown"
"HzAPI\Interface\Task.h","Task.h","38","    values of the Parameters in the DSCCollections are."
"HzAPI\Interface\WriteData.h","WriteData.h","17","__interface ISlbWriteAxis : IUnknown"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","35","        private ISlbWellLogDocument m_Wld = null;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","36","        private DscQuery m_DscQuery;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","40","        public ISlbDscLogicalAcqPassCollection m_LAPColl = null;"
