Component,SubComponent,Team,Type,CO,Stable,Maturity,ProjectType,Segment,MarketingNames,DeploymentRestrictions,Parallelizable,Folder,TFSAreaPath,ToolCode,Maturity,Parallelizable,MarketingNames,Segment,ProjectType
Undefined,,Undefined,,,,,,,,,,
Shared utilities,,T-Primer,,LI Ziming,,,,,,,,
Shared utilities,SharedLibrary,T-Primer,,LI Ziming,true,,,,,,,
Shared utilities,ComImporter,T-Primer,,LI Ziming,true,,,,,,,
Shared utilities,Generic Routines,T-Primer,,LI Ziming,,,,,,,,
Shared utilities,ProcessHandler,T-Primer,,LI Ziming,true,,,,,,,
Shared utilities,XmlLiteHelper,T-Primer,,LI Ziming,true,,,,,,,
Shared utilities,FwkToolkit,T-Primer,,LI Ziming,true,,,,,,,
Shared utilities,UnitSystem,T-Primer,,LI Ziming,true,,,,,,,
Shared utilities,Configuration,T-Primer,,ZHANG Peng,true,,,,,,,
ThirdParty,,T-Primer,,LI Ziming,,,,,,,,
ThirdParty,VLD,T-Primer,,LI Ziming,true,,,,,,,
ThirdParty,Expat,T-Primer,,LI Ziming,true,,,,,,,
ThirdParty,MxBulkData,T-Primer,,LI Ziming,true,,,,,,,
ThirdParty,Zlib,T-Primer,,LI Ziming,true,,,,,,,
ThirdParty,Python,T-Primer,,ZHANG Peng,true,,,,,,,
ThirdParty,SlbLicense,T-Primer,,LI Ziming,true,,,,,,,
ThirdParty,TBB,T-Primer,,HUANG Xin,true,,,,,,,
rp66,,Digital Deliverable,,Jiang ZHAO,true,Obsolete,,,,,,
rp66,rp66a,Digital Deliverable,,Jiang ZHAO,true,Obsolete,,,,,,
rp66,rp66lib,Digital Deliverable,,Jiang ZHAO,true,Obsolete,,,,,,
rp66,rww,Digital Deliverable,,Jiang ZHAO,true,Obsolete,,,,,,
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\IntegrationSummary
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzFramework\Utilities\MsTest\FwkUtilities_MsTest\Properties
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzFramework\Utilities\MsTest\FwkUtilities_MsTest
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzFramework\Utilities\PDF2TIFF
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzFwkUtils\MaxWellGraphicalComponentViewer
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzFwkUtils\PDFAutoCompare
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzFramework\Dex\Common\OsddConverter
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzFwkUtils\Temp\PDFUtility
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzFwkUtils\MwResourceMonitor
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\BoreHoleSizeCasingRecord
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\ComplexComponentViewer
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\GenericComponents\SlbGrid2
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\GCTableOfContents
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\GCGroupLabel
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\GraphicalStandAlonePrintHeader
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\SurveyRecord
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\CompositeSummary
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\GenericComponents\ParameterZoningMediator
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\JobEventSummary
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\RemarksEquipSummary
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\utilities\HeaderTypeProperty
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\BoreholeFluids
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\Tail
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\Disclaimer
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\OperationRunSummary
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\Deliverables\SoftwareVersionRpt
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\SummaryRecordViewer
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzProducts\Viewers\WitnessRemoteClientCodeSigner
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzFramework\Utilities\Formatting
Other Graphical Components,,Display,,Zhang Hui,false,,,,,,,,HzAPI\Interface
FLCN Feature,,Workflow,,Zhang Jie,,,,,,,,
FLCN Feature,SelfIdentification,Workflow,,Zhang Jie,,,,,,,,
FLCN Feature,SelfIdentification,Workflow,,Zhang Jie,,,,,,,,,HzAPI\BaseImpl
FLCN Feature,SelfIdentification,Workflow,,Zhang Jie,,,,,,,,,HzAPI\Interface
FLCN Feature,SelfIdentification,Workflow,,Zhang Jie,,,,,,,,,HzAPI\Include
FLCN Feature,SelfIdentification,Workflow,,Zhang Jie,,,,,,,,,HzAPI\Contracts
FLCN Feature,SelfIdentification,Workflow,,Zhang Jie,,,,,,,,,HzFramework\SelfIdentification
FLCN Feature,SelfIdentification,Workflow,,Zhang Jie,,,,,,,,,HzSysApps\Ensembles\PlaceHolder
WL Acq Cracking,,Workflow,,Xu Dawei,,,,,,,,
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,hzAPI
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,hzAPI\Interface
