FileName, AdjustedDuplicateLOC
Analytics\SystemBehavior\Applications\AnalyticsAPI\Controllers\CallstackAnalysisController.cs,10
Analytics\SystemBehavior\Applications\AnalyticsAPI\Controllers\ExceptionAnalysisController.cs,10
Analytics\SystemBehavior\Applications\AnalyticsAPI\Models\AnalysisResult.cs,12
Analytics\SystemBehavior\Applications\AnalyticsApiModels\AnalysisResult.cs,12
Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\GCPMySQLAccessor.cs,11
Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\MWCalculator.cs,9
Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\MySQLAccessor.cs,11
Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\WinchsafeCalculator.cs,9
Analytics\SystemBehavior\Applications\LocalDumpAnalysis\AboutBox.cs,45
Analytics\SystemBehavior\DataAnalyzer\FileTasks\SystemMonitorLogCrawler.cs,25
Analytics\SystemBehavior\DataAnalyzer\TestApplication\Program.cs,25
Analytics\SystemBehavior\DatabaseAccess\AnalyticsDBAccess\Common\Helper.cs,12
Analytics\SystemBehavior\DatabaseAccess\AnalyticsDBAccess_MsTest\TestContextAlgorithm.cs,50
Analytics\SystemBehavior\DatabaseAccess\AnalyticsDBAccess_MsTest\TestMiniDumpDebug.cs,22
Analytics\SystemSource\APIFootprint\ApiStaticAnalysis\unit-test\fixtures\AccumModuleImpl.h,234
Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\ApiDescriptionExtensions.cs,12
Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\HelpPageConfigurationExtensions.cs,15
Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\SampleGeneration\HelpPageSampleGenerator.cs,104
Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\SampleGeneration\HelpPageSampleKey.cs,22
Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\SampleGeneration\ObjectGenerator.cs,190
Analytics\SystemSource\APIFootprint\Managed\ManagedAPIFootprint.WebService\Areas\HelpPage\XmlDocumentationProvider.cs,8
Analytics\SystemSource\BaseImplRefactorying\Scripts\src_template\Contract.h,15
Analytics\SystemSource\scripts\src_template\Contract.h,15
Analytics\SystemSource\UnPublishedAPI\MaxwellNonPublishedAPIFinder\Basement\ResultOutputerExcel.cs,8
Analytics\SystemSource\UnPublishedAPI\MaxwellNonPublishedAPIFinder\Basement\ResultOutputerMarkDown.cs,8
Analytics\SystemSource\UnPublishedAPI\MaxwellNonPublishedAPIFinder\BLLService\FindCallerInDb.cs,25
Analytics\SystemSource\UnPublishedAPI\MaxwellNonPublishedAPIFinder\BLLService\RollupResult2Db.cs,10
Analytics\SystemSource\UnPublishedAPI\MaxwellNonPublishedAPIFinder\BLLService\SymbolsDotFileFinder.cs,37
Analytics\SystemSource\UnPublishedAPI\MaxwellNonPublishedAPIFinder\DAL\RollupResult2Db.cs,10
Analytics\SystemSource\UnPublishedAPI\MaxwellNonPublishedAPIFinder\DAL\SymbolsDotFileFinder.cs,37
Analytics\SystemSource\UnPublishedAPI\MaxwellNonPublishedAPIFinder\FindNonPublishedAPICallers\FindCallerInDb.cs,25
AppCore\ADN\adn_densitycaliper.h,8
AppCore\ADN\adn_neutronutils.h,16
AppCore\ADN\adn4_neutron.h,17
AppCore\ADN\adn6_density.h,14
AppCore\ADN\adn6_neutron.h,17
AppCore\ADN\adn8_calibration.h,30
AppCore\ADN\adn8_density.h,14
AppCore\ADN\adn8_neutron.h,32
AppCore\ADN\adn8d_densitycaliper.h,8
AppCore\ADN\sadn8_calibration.h,30
AppCore\APS\Computation\APS_CompUtility.cpp,30
AppCore\APS\Computation\APS_OpenNonAirBhole.cpp,8
AppCore\APS\Computation\APS_OpenNonAirBhole.h,8
AppCore\APS\Computation\aps_TNPH_Comp.cpp,30
AppCore\APS\Computation\aps_TNPH_Comp.h,30
AppCore\AUL\AUL_Random.cpp,25
AppCore\AUL\AUL_Spectrum.cpp,27
AppCore\AUL\AUL_Spectrum.h,7
AppCore\AUL\AUL_TelDumpUtil.cpp,9
AppCore\AUL\AUL_TelDumpUtil2.cpp,9
AppCore\AUL\BER\AULBER_SimpleWirelineUtil.cpp,46
AppCore\EcoScope\ecoscope_density_kernel.cpp,25
AppCore\EcoScope\ecoscope_neutron_kernel.cpp,22
AppCore\EcoScope\ecoscope_spectro_kernel.cpp,116
AppCore\EcoScope\SNGD\Code\NGD_BPHI.cpp,22
AppCore\EcoScope\SNGD\Code\NGD_comp.cpp,8
