analytics\systembehavior\applications\analyticsapi\controllers\callstackanalysiscontroller.cs,10
analytics\systembehavior\applications\analyticsapi\controllers\exceptionanalysiscontroller.cs,10
analytics\systembehavior\applications\analyticsapi\models\analysisresult.cs,12
analytics\systembehavior\applications\analyticsapimodels\analysisresult.cs,12
analytics\systembehavior\applications\gclouddatasever\src\module\gcpmysqlaccessor.cs,11
analytics\systembehavior\applications\gclouddatasever\src\module\mwcalculator.cs,9
analytics\systembehavior\applications\gclouddatasever\src\module\mysqlaccessor.cs,11
analytics\systembehavior\applications\gclouddatasever\src\module\winchsafecalculator.cs,9
analytics\systembehavior\applications\localdumpanalysis\aboutbox.cs,45
analytics\systembehavior\dataanalyzer\filetasks\systemmonitorlogcrawler.cs,25
analytics\systembehavior\dataanalyzer\testapplication\program.cs,25
analytics\systembehavior\databaseaccess\analyticsdbaccess\common\helper.cs,12
analytics\systembehavior\databaseaccess\analyticsdbaccess_mstest\testcontextalgorithm.cs,50
analytics\systembehavior\databaseaccess\analyticsdbaccess_mstest\testminidumpdebug.cs,22
analytics\systemsource\apifootprint\apistaticanalysis\unit-test\fixtures\accummoduleimpl.h,234
analytics\systemsource\apifootprint\managed\managedapifootprint.webservice\areas\helppage\apidescriptionextensions.cs,12
analytics\systemsource\apifootprint\managed\managedapifootprint.webservice\areas\helppage\helppageconfigurationextensions.cs,15
analytics\systemsource\apifootprint\managed\managedapifootprint.webservice\areas\helppage\samplegeneration\helppagesamplegenerator.cs,104
analytics\systemsource\apifootprint\managed\managedapifootprint.webservice\areas\helppage\samplegeneration\helppagesamplekey.cs,22
analytics\systemsource\apifootprint\managed\managedapifootprint.webservice\areas\helppage\samplegeneration\objectgenerator.cs,190
analytics\systemsource\apifootprint\managed\managedapifootprint.webservice\areas\helppage\xmldocumentationprovider.cs,8
analytics\systemsource\baseimplrefactorying\scripts\src_template\contract.h,15
analytics\systemsource\scripts\src_template\contract.h,15
analytics\systemsource\unpublishedapi\maxwellnonpublishedapifinder\basement\resultoutputerexcel.cs,8
analytics\systemsource\unpublishedapi\maxwellnonpublishedapifinder\basement\resultoutputermarkdown.cs,8
analytics\systemsource\unpublishedapi\maxwellnonpublishedapifinder\bllservice\findcallerindb.cs,25
analytics\systemsource\unpublishedapi\maxwellnonpublishedapifinder\bllservice\rollupresult2db.cs,10
analytics\systemsource\unpublishedapi\maxwellnonpublishedapifinder\bllservice\symbolsdotfilefinder.cs,37
analytics\systemsource\unpublishedapi\maxwellnonpublishedapifinder\dal\rollupresult2db.cs,10
analytics\systemsource\unpublishedapi\maxwellnonpublishedapifinder\dal\symbolsdotfilefinder.cs,37
analytics\systemsource\unpublishedapi\maxwellnonpublishedapifinder\findnonpublishedapicallers\findcallerindb.cs,25
appcore\adn\adn_densitycaliper.h,8
appcore\adn\adn_neutronutils.h,16
appcore\adn\adn4_neutron.h,17
appcore\adn\adn6_density.h,14
appcore\adn\adn6_neutron.h,17
appcore\adn\adn8_calibration.h,30
appcore\adn\adn8_density.h,14
appcore\adn\adn8_neutron.h,32
appcore\adn\adn8d_densitycaliper.h,8
appcore\adn\sadn8_calibration.h,30
appcore\aps\computation\aps_computility.cpp,30
appcore\aps\computation\aps_opennonairbhole.cpp,8
appcore\aps\computation\aps_opennonairbhole.h,8
appcore\aps\computation\aps_tnph_comp.cpp,30
appcore\aps\computation\aps_tnph_comp.h,30
appcore\aul\aul_random.cpp,25
appcore\aul\aul_spectrum.cpp,27
appcore\aul\aul_spectrum.h,7
appcore\aul\aul_teldumputil.cpp,9
appcore\aul\aul_teldumputil2.cpp,9
appcore\aul\ber\aulber_simplewirelineutil.cpp,46
appcore\ecoscope\ecoscope_density_kernel.cpp,25
appcore\ecoscope\ecoscope_neutron_kernel.cpp,22
appcore\ecoscope\ecoscope_spectro_kernel.cpp,116
appcore\ecoscope\sngd\code\ngd_bphi.cpp,22
appcore\ecoscope\sngd\code\ngd_comp.cpp,8
appcore\ecoscope\sngd\code\ngd_comp.h,8
appcore\ecoscope\sngd\code\ngd_main.cpp,48
appcore\ecoscope\sngd\code\ngd_main.h,38
appcore\ecoscope\sngd\code\ngd_qc.cpp,9
appcore\ecoscope\sngd\code\ngd_qc.h,9
appcore\ecoscope\sngd\code\ngd_uncomp.cpp,10
appcore\ecoscope\sngd\code\ngd_uncomp.h,10
appcore\ecoscope\sngd\unittest\ngd_main_unittest.cpp,172
appcore\ecoscope\sngd\unittest\ngd_qc_unittest.cpp,94
appcore\ecs\ecs_borehole_logic.cpp,9
appcore\ecs\ecs_common.h,10
appcore\ecs\ecs_compkernel.cpp,16
appcore\ecs\ecs_compkernel.h,16
appcore\ecs\ecs_gainoffset.cpp,20
