"File","LOC","Coverage"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\testanalyticscontext.cs","84","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\testcontextalgorithm.cs","83","98.79518"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\teststagingcontext.cs","25","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\testmanagementcontext.cs","26","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\testarguments.cs","33","93.93939"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\testdescription.cs","8","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\testtaskbase.cs","24","91.66666"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\testhelper.cs","50","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\testlimitedtaskscheduler.cs","21","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\testlogfilelistener.cs","20","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\testlongpathsupport.cs","30","96.66666"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\teststringcaseinsensitivecomparer.cs","6","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\testminidumpdebug.cs","16","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess_mstest\testlogrowinfo.cs","35","100"
"Analytics\SystemBehavior\databaseaccess\analyticsmanagement_mstest\testplatformmanagement.cs","42","100"
"Analytics\SystemBehavior\databaseaccess\analyticsmanagement_mstest\testanalyticsregister.cs","56","96.42857"
"Analytics\SystemBehavior\databaseaccess\analyticsmanagement_mstest\testanalyticstask.cs","26","100"
"Analytics\SystemBehavior\dataanalyzer\contexttasks_mstest\testdumpcontextanalyzer.cs","55","98.18182"
"Analytics\SystemBehavior\dataanalyzer\contexttasks_mstest\testlogcrashoperationanalyzer.cs","96","89.58334"
"Analytics\SystemBehavior\dataanalyzer\contexttasks_mstest\testtfslookcup.cs","45","91.11111"
"Analytics\SystemBehavior\dataanalyzer\contexttasks_mstest\testdumpsourceanalyzer.cs","32","96.875"
"Analytics\SystemBehavior\dataanalyzer\contexttasks_mstest\testlogjobrunanalyzer.cs","112","99.10714"
"Analytics\SystemBehavior\dataanalyzer\contexttasks_mstest\testlogcrashanalyzer.cs","45","95.55556"
"Analytics\SystemBehavior\dataanalyzer\contexttasks_mstest\testlogfeatureanalyzer.cs","34","94.11765"
"Analytics\SystemBehavior\dataanalyzer\contexttasks_mstest\testlogtoolanalyzer.cs","50","96"
"Analytics\SystemBehavior\dataanalyzer\filetasks_mstest\testdumpcontentanalyzer.cs","52","94.23077"
"Analytics\SystemBehavior\dataanalyzer\filetasks_mstest\testsharefoldercrawler.cs","30","83.33334"
