appcore\adn\adn_dencaliper.c,598,1
appcore\adn\adn_neutron.c,2703,1
appcore\ecoscope\ecoscope_density_kernel.cpp,1386,1
appcore\ecoscope\ecoscope_spectrolith.c,2946,5
appcore\ecoscope\ecoscope_spectroproc.c,2016,2
appcore\ecoscope\mdoi_sigma\nlopt\bobyqa.c,3272,12
appcore\ecoscope\mdoi_sigma\nlopt\f77funcs.h,122,1
appcore\ecoscope\mdoi_sigma\nlopt\optimize.c,905,2
appcore\ecoscope\mdoi_sigma\nlopt\options.c,745,1
appcore\ecoscope\sngd\unittest\ngd_main_unittest.cpp,685,2
appcore\ecoscope\sngd\unittest\ngd_qc_unittest.cpp,502,2
appcore\lwd\lwd_density.cpp,2249,4
build\scripts\cloud\metrics\goldenimage\common\dexutils2.cpp,957,1
build\scripts\production\metrics\goldenimage\common\dexutils2.cpp,957,1
ci\production\metrics\goldenimage\common\dexutils2.cpp,957,1
ci\staging\metrics\goldenimage\common\dexutils2.cpp,957,1
externalsource\cudd\cuddanneal.c,792,1
externalsource\cudd\cuddapa.c,934,5
externalsource\cudd\cuddapi.c,4413,2
externalsource\cudd\cuddcompose.c,1726,5
externalsource\cudd\cudddecomp.c,2154,9
externalsource\cudd\cuddexact.c,1008,6
externalsource\cudd\cuddexport.c,1293,3
externalsource\cudd\cuddgencof.c,1972,2
externalsource\cudd\cuddgenetic.c,925,4
externalsource\cudd\cuddgroup.c,2146,3
externalsource\cudd\cuddharwell.c,547,2
externalsource\cudd\cuddinteract.c,406,1
externalsource\cudd\cuddlinear.c,1337,1
externalsource\cudd\cuddmatmult.c,684,2
externalsource\cudd\cuddreorder.c,2096,2
externalsource\cudd\cuddsign.c,296,2
externalsource\cudd\cuddsplit.c,661,1
externalsource\cudd\cuddsubsethb.c,1315,1
externalsource\cudd\cuddsubsetsp.c,1628,2
externalsource\cudd\cuddsymmetry.c,1672,2
externalsource\cudd\cuddtable.c,3149,24
externalsource\cudd\cuddutil.c,3637,17
externalsource\cudd\cuddwindow.c,1001,3
externalsource\cudd\cuddzddgroup.c,1321,2
externalsource\cudd\cuddzddlin.c,943,1
externalsource\cudd\cuddzddreord.c,1638,2
externalsource\cudd\cuddzddsymm.c,1681,2
externalsource\cudd\cuddzddutil.c,1025,4
externalsource\cudd\st.c,558,4
externalsource\rp66\rp66a\e66_repcodes.cc,9491,1
hzapplications\curie\sgengine\sg_global.cpp,89,1
hzapplications\curie\sgengine\sg_test.cpp,1245,1
hzapplications\pti\acquisition\zencusserialport.cpp,666,1
hzapplications\sldt\calibration\qldt_calitask_calibrationreport.h,23,1
hzfwkutils\hzdrivers\jaws2.4\buildvc\slbjawsint\slbjawsint.cpp,373,1
hzfwkutils\hzdrivers\jaws2.4\buildvc\slbjawspkg\xmlutil.cpp,193,1
hzfwkutils\hzdrivers\oemdll\clipui\debug.cpp,577,3
hzfwkutils\hzdrivers\oemdll\slbepsonui\debug.cpp,577,3
hzfwkutils\hzdrivers\oemdll\slbhpdjui\debug.cpp,577,3
hzfwkutils\hzdrivers\oemdll\slbhzprint\printpspdf.cpp,235,1
hzfwkutils\hzdrivers\oemdll\slbhzprint\printslbmixed.cpp,2021,4
hzfwkutils\hzdrivers\oemdll\slbhzprint\raw.cpp,436,1
hzfwkutils\hzdrivers\oemdll\slbieliteui\debug.cpp,577,3
hzfwkutils\hzdrivers\oemdll\slbiliteui\debug.cpp,577,3
hzfwkutils\hzdrivers\oemdll\slbprtx820gui\debug.cpp,577,3
hzfwkutils\hzdrivers\oemdll\slbprtx820gui\intrface.cpp,516,1
hzfwkutils\hzdrivers\oemdll\slbprtx820ui\debug.cpp,577,3
hzfwkutils\hzdrivers\oemdll\slbprtx820ui\intrface.cpp,516,1
hzfwkutils\hzdrivers\oemdll\slbprtx840gui\debug.cpp,577,3
hzfwkutils\hzdrivers\oemdll\slbprtx840gui\intrface.cpp,516,1
hzfwkutils\hzdrivers\oemdll\slbprtx840ui\debug.cpp,577,3
hzfwkutils\hzdrivers\oemdll\slbprtx840ui\intrface.cpp,516,1
hzfwkutils\hzdrivers\oemdll\slbprtx843gui\debug.cpp,575,3
hzfwkutils\hzdrivers\oemdll\slbprtx843gui\intrface.cpp,516,1
hzfwkutils\hzdrivers\oemdll\slbprtx843ui\debug.cpp,575,3
hzfwkutils\hzdrivers\oemdll\slbprtx843ui\intrface.cpp,516,1
hzfwkutils\hzdrivers\oemdll\slbps\debug.cpp,331,3
hzfwkutils\hzdrivers\oemdll\tgipui\debug.cpp,570,3
hzfwkutils\hzdrivers\oemdll\tgrpdui\debug.cpp,568,3
hzfwkutils\hzdrivers\oemdll\tgrpui\debug.cpp,570,3
hzfwkutils\hzdrivers\slbhzprtdrvinstallserver\stdafx.h,58,1
thirdparty\thrift\thrift\concurrency\threadmanager.cpp,585,1
thirdparty\thrift\thrift\concurrency\timermanager.cpp,292,1
