"Name","Count"
"HzAPI\BaseImpl\AcqModuleImpl.cpp","1"
"HzAPI\Include\DnMSingleElementSegmentImpl.h","2"
"HzAPI\Include\DnMSingleElementToolImpl.h","2"
"HzAPI\Include\DownholeCompositeEquipmentImpl.h","2"
"HzAPI\Include\SurfaceEquipmentImpl.h","2"
"HzAPI\Include\ToolElementImpl.h","2"
"HzAPI\Include\WlSingleElementSegmentImpl.h","2"
"HzAPI\Include\WlSingleElementToolImpl.h","2"
"HzAPI\Interface\AcqModule.h","1"
"HzAPI\Interface\AuxiliaryEquipment.h","1"
"HzAPI\Interface\Calibration.h","1"
"HzAPI\Interface\Task.h","1"
"HzAPI\Interface\WriteData.h","1"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","19"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","22"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCustomTableProperty.cs","1"
"HzApplications\BORDYN\BorDynUI\BorDynNewChannelSelector.cs","3"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","37"
"HzApplications\BORDYN\BorDynUI\ComparativePlot.cs","2"
"HzApplications\BORDYN\BorDynUI\DiagnosticPlot.cs","2"
"HzApplications\BORDYN\BorDynUI\EarlyStoragePlot.cs","2"
"HzApplications\BORDYN\BorDynUI\Interaction.cs","4"
"HzApplications\BORDYN\BorDynUI\MiddleIARFPlot.cs","2"
"HzApplications\BORDYN\BorDynUI\SpecializedPlot.cs","2"
"HzApplications\BORDYN\BorDynUI\VersusTimePlot.cs","5"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","31"
"HzApplications\CMRTB\CMRTB_CustomTables\CmrDataProviderUtility.cs","15"
"HzApplications\CMRTB\CMRTB_CustomTables\ParameterListTableProperty.cs","1"
"HzApplications\CMRTB\CMRTB_CustomTables\PostLFSTLowerTableDataProvider.cs","3"
"HzApplications\CMRTB\CMRTB_CustomTables\PostLFSTLowerTableViewer.cs","2"
"HzApplications\CMRTB\CMRTB_CustomTables\PostLFSTUpperTableDataProvider.cs","5"
"HzApplications\CMRTB\CMRTB_CustomTables\PostLFSTUpperTableViewer.cs","2"
"HzApplications\CMRTB\CMRTB_CustomTables\PreLFSTLowerTableDataProvider.cs","5"
"HzApplications\CMRTB\CMRTB_CustomTables\PreLFSTLowerTableViewer.cs","2"
"HzApplications\CMRTB\CMRTB_CustomTables\PreLFSTUpperTableDataProvider.cs","5"
"HzApplications\CMRTB\CMRTB_CustomTables\PreLFSTUpperTableViewer.cs","2"
"HzApplications\CMRTB\CMRTB_CustomTables\StationSummaryTableDataProvider.cs","29"
"HzApplications\CMRTB\CMRTB_CustomTables\StationSummaryTableViewer.cs","1"
"HzApplications\CMRTB\CMRTB_CustomTables\T1StationResultTableDataProvider.cs","7"
"HzApplications\CMRTB\CMRTB_CustomTables\T1StationResultTableViewer.cs","1"
"HzApplications\CMRTB\CMRTB_CustomTables\T2StationResultTableDataProvider.cs","7"
"HzApplications\CMRTB\CMRTB_CustomTables\T2StationResultTableViewer.cs","1"
"HzApplications\CMRTB\CMRTB_TaskUI\CMRTB_MRX2DContourTM.cs","11"
"HzApplications\CMRTB\NMR_XYZTransformationModule\CMR_XyZPlotTM_LFST.cs","11"
"HzApplications\CMRTB\NMR_XYZTransformationModule\NMR_XyZPlotTM_CommonUtility.cs","33"
"HzApplications\Common\DLISCustomCnvModule\ChannelService.cpp","3"
"HzApplications\Common\DLISCustomCnvModule\CnvCustomWriteModuleImpl.cpp","7"
"HzApplications\Common\DLISCustomCnvModule\CnvCustomWriteModuleImpl.h","2"
"HzApplications\Common\DLISCustomCnvModule\CnvLogicalAcqPassImpl.cpp","6"
"HzApplications\Common\DLISCustomCnvModule\CnvMeasurePointImpl.cpp","3"
"HzApplications\Common\DLISCustomCnvModule\CnvMeasurePointImpl.h","3"
"HzApplications\Common\DLISCustomCnvModule\SlbDscCollectionService.cpp","2"
"HzApplications\Common\DLISCustomCnvModule\SlbDscCollectionService.h","2"
"HzApplications\Common\SharedUIComp\AplModel\AplCalibration.cs","24"
"HzApplications\Common\SharedUIComp\AplModel\AplChannel.cs","9"
"HzApplications\Common\SharedUIComp\AplModel\AplChannelSet.cs","3"
"HzApplications\Common\SharedUIComp\AplModel\AplDataAccessContext.cs","6"
"HzApplications\Common\SharedUIComp\AplModel\AplDataAcquisitionRun.cs","8"
"HzApplications\Common\SharedUIComp\AplModel\AplDataGaugeCollection.cs","8"
"HzApplications\Common\SharedUIComp\AplModel\AplDscCollection.cs","3"
"HzApplications\Common\SharedUIComp\AplModel\AplEnsemble.cs","43"
"HzApplications\Common\SharedUIComp\AplModel\AplLogicalAcquisitionPass.cs","44"
"HzApplications\Common\SharedUIComp\AplModel\AplParameterCollection.cs","35"
"HzApplications\Common\SharedUIComp\AplModel\AplPCatDataGauge.cs","6"
"HzApplications\Common\SharedUIComp\AplModel\AplRepresentation.cs","10"
"HzApplications\Common\SharedUIComp\AplModel\AplRunAssignment.cs","7"
"HzApplications\Common\SharedUIComp\AplModel\AplSummaryRecord.cs","21"
"HzApplications\Common\SharedUIComp\AplModel\AplToolElementCollection.cs","6"
"HzApplications\Common\SharedUIComp\AplModel\AplTrajectoryCalculatorAdapter.cs","3"
"HzApplications\Common\SharedUIComp\AplModel\AplUIAdaptor.cs","1"
"HzApplications\Common\SharedUIComp\AplModel\AplUIPDocumentFactory.cs","4"
"HzApplications\Common\SharedUIComp\AplPresentationCore\Common\PresentationCoreHelper.cs","9"
"HzApplications\Common\SharedUIComp\AplPresentationCore\CustomUI\UIHost.cs","5"
"HzApplications\Common\SharedUIComp\AplPresentationCore\Model\IUIHandler.cs","1"
"HzApplications\Common\SharedUIComp\CustomComplexComponents\ComplexComponentHelper.cs","10"
"HzApplications\Common\SharedUIComp\CustomComplexComponents\CustomComplexComponentProperty.cs","4"
"HzApplications\Common\SharedUIComp\CustomComplexComponents\FilterFormatController.cs","10"
"HzApplications\Common\SharedUIComp\CustomComplexComponents\StationController.cs","27"
"HzApplications\Common\SharedUIComp\CustomTableAdapter\CustomTableViewerAdapter.cs","2"
"HzApplications\Common\SharedUIComp\CustomTableAdapter\MeasurePointReader.cs","7"
"HzApplications\Common\SharedUIComp\CustomTableAdapter\ParameterReader.cs","10"
"HzApplications\Common\SharedUIComp\CustomTableAdapter\TableDataProviderAdapter.cs","2"
"HzApplications\Common\SharedUIComp\CustomUIUtility\CustomUIAdapter\DataAccess\MaxwellChannelReaderContext.cs","17"
"HzApplications\Common\SharedUIComp\CustomUIUtility\CustomUIAdapter\CustomUIAdapter.DscRepInfo.cs","18"
"HzApplications\Common\SharedUIComp\CustomUIUtility\CustomUIAdapter\CustomUIAdapter.EquipmentPropertyInfo.cs","1"
"HzApplications\Common\SharedUIComp\CustomUIUtility\CustomUIAdapter\IMaxwellDscRepInfo.cs","1"
"HzApplications\Common\SharedUIComp\DataGaugeEx\Common\DataGaugeEx.cs","27"
"HzApplications\Common\SharedUIComp\DataGaugeEx\Common\DigitalGaugeEx.cs","1"
"HzApplications\Common\SharedUIComp\DataGaugeEx\Common\StatusWordGaugeEx.cs","9"
"HzApplications\Common\SharedUIComp\EventSummary\EventSummaryCustomTableDataProvider.cs","25"
"HzApplications\Common\SharedUIComp\EventSummary\EventSummaryCustomTableViewer.cs","1"
"HzApplications\Common\SharedUIComp\PerfoUIComponents\SummaryRecordTableDataProvider.cs","15"
"HzApplications\Common\SharedUIComp\PerfoUIComponents\SummaryRecordTableViewer.cs","1"
"HzApplications\Common\SharedUIComp\TractorUILib\BindingHelper.cs","18"
"HzApplications\Common\Slb.Maxwell.App.Domain\Ensemble.cs","9"
"HzApplications\Common\Slb.Maxwell.App.Domain\Ensembles.cs","8"
"HzApplications\Common\Slb.Maxwell.App.Domain\LogicalAcqPass.cs","2"
"HzApplications\Common\Slb.Maxwell.App.Domain\LogicalAcqPasses.cs","5"
"HzApplications\Common\Slb.Maxwell.App.Domain\Parameter.cs","3"
"HzApplications\Common\Slb.Maxwell.App.Domain\Run.cs","5"
"HzApplications\Common\WaveformViewer\TransformationModule\WVApplicationWaveformTransformationBase.cs","21"
"HzApplications\Common\WaveformViewer\WldWrapper\Include\LgWrappers.cpp","3"
"HzApplications\Common\WaveformViewer\WldWrapper\Include\LgWrappers.h","10"
"HzApplications\Common\WaveformViewer\WldWrapper\WldWrapper\LgDataFinder.cpp","2"
"HzApplications\Common\WaveformViewer\WldWrapper\WldWrapper\LgDataFinder.h","2"
"HzApplications\Common\WVPanelController\WVPanelController\WVPanelControlManager.cs","2"
"HzApplications\Common\WVPanelController\WVPanelController\WVPanelControlModuleBase.cs","2"
"HzApplications\CSR\CSR_CustomUI\CSR_JointTable\CSR_JointTableDataProvider.cs","17"
"HzApplications\CSR\CSR_CustomUI\CSR_JointTable\CSR_JointTableProperty.cs","1"
"HzApplications\CSR\CSR_CustomUI\CSR_JointTable\CSR_JointTableViewer.cs","2"
"HzApplications\CSR\CSR_CustomUI\CSR_CCOL_LgPlugin.cs","5"
"HzApplications\CSR\CSR_CustomUI\CSR_CustomReport.cs","9"
"HzApplications\CSR\CSR_CustomUI\CSR_CustomUI.cs","10"
"HzApplications\CST\SamplingUIP\ShootPosition\ShootPosition.cs","2"
"HzApplications\CST\SamplingUIP\GatherSamplesTaskUI.cs","6"
"HzApplications\CST\SamplingUIP\SamplingCommon.cs","10"
"HzApplications\CST\SamplingUIP\SamplingReport.cs","3"
"HzApplications\CST\SamplingUIP\SamplingToolBar.cs","4"
"HzApplications\CST\SamplingUIP\SidewallCoreSummaryTableDataProvider.cs","53"
"HzApplications\CST\SamplingUIP\SidewallCoreSummaryTableViewer.cs","1"
"HzApplications\CST\SamplingUIP\SurfaceHotCheckTaskUI.cs","3"
"HzApplications\ECS\Common\ConversionModule\ECS_DLISCustomWriteModule.cpp","2"
"HzApplications\ECS\Common\ConversionModule\ECS_DLISCustomWriteModule.h","1"
"HzApplications\EGDT\EGDT_CustomUI\CreateGdfUI.cs","6"
"HzApplications\FFP\Helper\ChannelReader\LapServer.cs","12"
"HzApplications\FFP\Helper\ChannelReader\RepresentationServer.cs","12"
"HzApplications\FFP\SetupService\SetupService\Service\EquipmentService.cs","1"
"HzApplications\FLCN\UICommon\ViewModels\FlcnMainViewModel.cs","8"
"HzApplications\GPIT\CustomUI\GPITCommon_PostJobCheckUI.cs","17"
"HzApplications\HNGS\HNGS_RunningAverageUI\HNGS_RunningAverage_CtrlUI.cs","8"
"HzApplications\HNGS\HNGS_RunningAverageUI\HNGS_RunningAverage_LogPlugIn.cs","7"
"HzApplications\HNGS\HNGS_RunningAverageUI\HNGS_RunningAverage_TableData.cs","12"
"HzApplications\HNGS\HNGS_RunningAverageUI\HNGS_RunningAverage_TableProperty.cs","1"
"HzApplications\HNGS\HNGS_RunningAverageUI\HNGS_RunningAverage_TableViewer.cs","2"
"HzApplications\HNGS\HNGS_WaveformViewer\HNGS_WaveformTransformationModule.cs","16"
"HzApplications\Isonic\Common\Isonic_WaveformViewer\ISONIC_TM.cs","14"
"HzApplications\Isonic\ISONICUI\ISonicDataLayer.cs","7"
"HzApplications\Isonic\ISONICUI\ISonicSTCContourPlot.cs","11"
"HzApplications\Isonic\ISONICUI\ISonicSTCPlaneTM.cs","5"
"HzApplications\JPG\JPG_UI\JPG_Common\Collections\DsCollection.cs","9"
"HzApplications\JPG\JPG_UI\JPG_Common\Gauges\Gauges.cs","1"
"HzApplications\LDS\LDS_WaveformViewer\LDS_HLDS_WaveformTransformationModule.cs","14"
"HzApplications\MAST\CustomTables\CasedHole\CasedHoleTableViewer.cs","2"
"HzApplications\MAST\CustomTables\Imaging\ImagingTableViewer.cs","2"
"HzApplications\MAST\CustomTables\Openhole\OpenHoleTableViewer.cs","2"
"HzApplications\MAST\CustomTables\ParameterListTableDataProvider.cs","4"
"HzApplications\MAST\CustomTables\ParameterListTableProperty.cs","1"
"HzApplications\MAST\CustomTables\ParameterListTableViewer.cs","2"
"HzApplications\MAST\CustomTables\ParameterReader.cs","13"
"HzApplications\MAST\MAST_WaveformViewer\DataAccess.cs","17"
"HzApplications\MAST\MAST_WaveformViewer\MAST_PanelControlModule.cs","3"
"HzApplications\MAST\MAST_WaveformViewer\MAST_TM.cs","8"
"HzApplications\MAST\UI\AuxDataMonitorUI\AuxChannelReader.cs","2"
"HzApplications\MAST\UI\AuxDataMonitorUI\MAST_AuxDataMonitorUI.cs","2"
"HzApplications\MAST\UI\CompRateMonitorUI\MAST_CompRateMonitorUI.cs","3"
"HzApplications\MAST\UI\GainMonitorUI\GainMonitorChannelReader.cs","1"
"HzApplications\MAST\UI\GainMonitorUI\MAST_GainMonitorUI.cs","2"
"HzApplications\MAST\UI\RelabelingUI\RelabelingLogPlugIn.cs","3"
"HzApplications\MAST\UI\RelabelingUI\RelabelingOptionUI.cs","1"
"HzApplications\MAST\UI\RelabelingUI\TimeDepthMapper.cs","1"
"HzApplications\MAST\UI\SetupUI\MainUI\MAST_SetupMainUIImpl.cs","8"
"HzApplications\MAST\UI\SetupUI\MainUI\PassInfo.cs","27"
"HzApplications\MAST\UI\SetupUI\MAST_SetupMainUI.cs","3"
"HzApplications\MAST\UI\TaskUI\ChannelReader.cs","2"
"HzApplications\MAST\UI\TaskUI\LogPassReader.cs","14"
"HzApplications\MAST\UI\TaskUI\PostJobUpdateNFPIUI.cs","2"
"HzApplications\MAST\UI\WfqcMonitorUI\MastWfqcMonitorUI.cs","2"
"HzApplications\MAST\UI\WfqcMonitorUI\MastWLDDataAccess.cs","30"
"HzApplications\MAST\UI\MAST_CommonUtility.cs","5"
"HzApplications\MDT\Common\CoreImpl\MdtCoordinator.cpp","12"
"HzApplications\MDT\Common\CoreImpl\MdtCoordinator.h","2"
"HzApplications\MDT\MdtBaseConversionModule\MDT_DLISCustomWriteBaseModule.cpp","2"
"HzApplications\MDT\MdtBaseConversionModule\MDT_DLISCustomWriteBaseModule.h","2"
"HzApplications\MDT\MdtUI\MdtChambers\MRMS\Aquisition\MdtMrms_CustomUI.cs","7"
"HzApplications\MDT\MdtUI\MdtPackers\Acquisition\MdtPackers_CustomUI_Control.cs","2"
