"fileName","count"
"HzProductsAPI\WorkflowConfigManager\SessionWirelineRecordedMode.cs","2"
"HzSysApps\Ensembles\UIs\DepthCorrection\AdditionalCorrection\AdditionalCorrectView.cs","1"
"HzProducts\Managers\EquipmentMgr\EquipmentManagerUI\MyEquipment.cs","36"
"HzFramework\DataStore\Clients\DataStoreServices\DscRTWorkspaceService.cpp","11"
"HzProducts\MaxShell\Util\ContextManagerHelper.cs","2"
"HzProducts\UIServers\SlbEquipmentBuilder.cpp","18"
"HzFramework\Execution\EnsembleManager\EnsembleMgr.cpp","16"
"HzProducts\GenericComponents\JobSpecComponents\JobSpecViewer\Helper\JobSpecXmlHelper.cs","1"
"HzProducts\GenericComponents\ParameterAccessLayer\ZoningLayout.cs","4"
"HzFramework\Common\ToolString\ToolStringHandler\XMLHandler.cpp","3"
"HzSysApps\Ensembles\UIs\WirelineRM\DepthMng.cs","1"
"HzProductsAPI\WorkflowConfigManager\SessionDrilling.cs","2"
"HzProducts\Managers\EquipmentMgr\EquipmentManagerUI\EquipmentManager.cs","31"
"HzProducts\GenericComponents\ParameterAccessLayer\ZoneEditor.cs","2"
"HzSysApps\Ensembles\Borehole\BH_DfModulePressure.cpp","4"
"HzProductsAPI\BaseImpl\UIServerImpl.cpp","2"
"HzFramework\Common\ToolString\ToolStringHandler\SurfaceEquipmentContainer.cpp","2"
"HzProducts\Tasks\DepthLogTask.h","4"
"HzProducts\Managers\RunManager\RunManagerUI\RunManager.cs","16"
"HzProducts\Editors\WellboreEditor\Casing.cs","5"
"HzProducts\Managers\CalibrationManager\UIP\CalibrationMgrUI.cs","3"
"HzFramework\Common\RigTimeZone\RigTimeZoneCore\TimeZoneDscAccessor.cpp","2"
"HzProducts\UIServers\SlbEquipMgrUIServer.cpp","33"
"HzProducts\Managers\RunManager\RunManagerUI\Utils.cs","2"
"HzFramework\Execution\EnsembleManager\RunningActivitiesValidationHelper.cpp","6"
"HzProducts\Controls\Wafe\UI\AcquisitionToolbarUIP.cs","9"
"HzFramework\Common\ToolString\ToolStringHandler\PathComposer.cpp","1"
"HzProducts\Managers\EquipmentMgr\EquipmentManagerUI\ECMCommon.cs","29"
"HzProducts\UIServers\SlbEquipmentComputation.cpp","1"
"HzProducts\Editors\TimeDepth\SelectStopPointUIP.cs","2"
"HzProducts\UIServers\WLAcqusitionUIServer.cpp","13"
"HzFramework\DataStore\Clients\DataStoreServices\DscTSDocumentService.cpp","1"
"HzProducts\Managers\RunManager\RunManagerUI\RunManagerDataGrid.cs","5"
"HzAPI\BaseImpl\EnsembleImpl.cpp","2"
"HzFramework\Execution\EnsembleManager\TaskRunManagerDef.cpp","1"
"HzProducts\GenericComponents\EquipmentNamingComponent\EquipmentNameBuilder.cs","2"
"HzProducts\Editors\WellboreEditor\WellSketchModel.cs","1"
"HzProducts\Controls\WorkflowUIP\SlbHzWorkflowUI\WorkflowUI.cs","12"
"HzProducts\Controls\GenericTaskUIP\GenericTaskUI.cs","2"
"HzProducts\Managers\EquipmentMgr\EquipmentManagerUI\EquipmentCatalog.cs","10"
"HzFramework\Common\ToolString\ToolStringHandler\SlbToolStringHandler.cpp","5"
"HzProducts\Editors\Recomputation\RecomputationUI.cs","2"
"HzFramework\Execution\FrameworkTasks\AcqTasks\StartStationTask.cpp","4"
"HzProducts\GenericComponents\LogComponents\LGRoutines\IndexScale\ScaleHelper.cs","1"
"HzProducts\Editors\WellboreEditor\BoreholeSegment.cs","4"
"HzFramework\Computation\Test\ComputationContextManager.cs","1"
"HzSysApps\Ensembles\Borehole\BH_DfModuleBHRM.cpp","1"
"HzFramework\Dex\Common\MaxWellDscReader.cpp","1"
"HzProducts\Editors\WellboreEditor\BoreholeSegmentModel.cs","2"
"HzProducts\Managers\SurveyMgr\SurveyManagerUI\Msh.cs","3"
"HzTestTools\Tools\EquipmentTester\ToolStringComposer.cs","3"
"HzFramework\Dex\Common\JobSpecDscReader.cpp","1"
"HzProducts\Controls\SetupUtilityUIManager\SetupUtilityUIManager.cs","3"
"HzProducts\Tasks\SlbPassManagerTask.h","8"
"HzProducts\Editors\RecordedMode\RecModeCalibrationUI.cs","1"
"HzProducts\Controls\Wafe\UI\LoggingService.cs","3"
"HzProducts\UIServers\WorkflowUIServer.cpp","6"
"HzSysApps\Ensembles\AuxiliaryEquipment\GenericAux.cpp","1"
"HzProducts\Editors\TimeDepth\SetLimitsUIP.cs","3"
"HzFramework\Execution\TaskRunManagers\RecomputeRun.cpp","1"
"HzProducts\UIServers\SlbUnitSystemEditorUIServer.cpp","1"
"HzFramework\Execution\EnsembleManager\PassManager.cpp","20"
"HzFramework\DataStore\Clients\SessionPackage\DscSessionCollection.cpp","1"
"HzProductsAPI\WorkflowConfigManager\SessionWirelinePerfoExpress.cs","2"
"HzProducts\Managers\EquipmentMgr\EquipmentManagerUI\ECMCommonStatic.cs","4"
"HzFramework\Execution\EnsembleManager\PassManagerHelper.cpp","4"
"HzProducts\UIServers\SlbEquipmentProperty.cpp","10"
"HzProducts\Managers\CalibrationManager\UIP\CalibrationDataAccess.cs","1"
"HzProducts\GenericComponents\WellSketchControl\WellSketch.cs","1"
"HzProducts\Managers\PassManager\PassManagerUI\PassManagerInitializer.cs","1"
"HzSysApps\Ensembles\Borehole\BH_EnsApplication.cpp","5"
"HzProducts\Managers\DnIInits\Model\DnIInitsDataSource.cs","1"
"HzAPI\Interface\Ensemble.h","10"
"HzFramework\Acquisition\DataPump\DttAcqModule.cpp","15"
"HzProducts\Managers\DnIInits\View\Dni.cs","4"
"HzProducts\UIServers\SlbStableIntervalUITask.h","4"
"HzProductsAPI\WorkflowConfigManager\SessionWireline.cs","2"
"HzProducts\Editors\DataCentral\Composer\WellComposer.cpp","1"
"HzProducts\GenericComponents\DataBasedAlarms\AlarmsManagerUI\AlarmsManagerUIMgr.cs","5"
"HzProducts\Controls\Wafe\UI\AcquisitionToolbarModel.cs","11"
"HzAPI\BaseImpl\AssetMemoryTaskImpl.cpp","4"
"HzProducts\GenericComponents\ParameterAccessLayer\GenericEditorUIP.cs","4"
"HzAPI\BaseImpl\AcqModuleImpl.cpp","3"
"HzProducts\GenericComponents\ParameterAccessLayer\SlbPALValue.cs","1"
"HzProducts\UIServers\CalibrationUIServerImpl.cpp","9"
"HzProducts\Managers\DnIInits\View\DnIInitsUIP.cs","1"
"HzProducts\UIServers\SlbRunManagerUIServer.cpp","28"
"HzProducts\Managers\SurveyMgr\SurveyManagerUI\SurveyImportUIP.cs","4"
"HzProducts\GenericComponents\ParameterAccessLayer\SlbPALInfoClasses.cs","2"
"HzProducts\Editors\UserDefinedComposite\UserDefinedCompositeGraphicalDisplay.cs","3"
"HzProducts\Editors\TimeDepth\TimeDepthCurveUIP.cs","7"
"HzProducts\Editors\TimeDepth\TimeDepthUIController.cs","6"
"HzProducts\MaxShell\Util\RunManagerHelper.cs","27"
"HzProducts\UIServers\Test\PrdUIServersContextManager.cpp","1"
"HzProducts\GenericComponents\ParameterAccessLayer\ParameterView.cs","2"
"HzProductsAPI\WorkflowConfigManager\WorkflowConfig.cs","10"
"HzFramework\Common\ToolString\ToolStringHandler\InlineElementContainer.cpp","1"
"HzProducts\Editors\WellboreEditor\WellSketchEditor.cs","1"
"HzFramework\Computation\Domain\Domain.cpp","2"
"HzProducts\Editors\GraphicPassManager\AutoPassDetectParameterUIP.cs","1"
"HzProducts\Managers\EquipmentMgr\ToolStringValidationUIP\CableValidationController.cs","3"
"HzProducts\Controls\Wafe\UI\LogView.cs","1"
"HzProducts\Managers\PassManager\PassManagerUI\PassManagerConfigWorkflowTypes.cs","5"
"HzAPI\BaseImpl\TaskDefImpl.cpp","1"
