File,CID,Severity,Checker,Status
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/xlocale,10004,Unspecified,DELETE_VOID,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/atlsimpstr.h,10050,Unspecified,FORWARD_NULL,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/vector,10054,Unspecified,FORWARD_NULL,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/atlcom.h,11271,Unspecified,NO_EFFECT,New
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/atlcom.h,11272,Unspecified,NO_EFFECT,New
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/statreg.h,11274,Unspecified,NO_EFFECT,New
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/statreg.h,11275,Unspecified,NO_EFFECT,New
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/statreg.h,11276,Unspecified,NO_EFFECT,New
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/vector,11281,Unspecified,NO_EFFECT,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/vector,11282,Unspecified,NO_EFFECT,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/vector,11283,Unspecified,NO_EFFECT,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/vector,11286,Unspecified,NO_EFFECT,New
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/xtree,11288,Unspecified,NO_EFFECT,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/xtree,11289,Unspecified,NO_EFFECT,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/xtree,11290,Unspecified,NO_EFFECT,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/xtree,11291,Unspecified,NO_EFFECT,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/atlcoll.h,11468,Unspecified,UNINIT_CTOR,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/atlcoll.h,11469,Unspecified,UNINIT_CTOR,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/fstream,11470,Unspecified,UNINIT_CTOR,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/ios,11471,Unspecified,UNINIT_CTOR,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/xiosbase,11473,Unspecified,UNINIT_CTOR,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/statreg.h,11486,Unspecified,USE_AFTER_FREE,Dismissed
/Maxwell/Main/AppCore/HNGS/hngs_computation_kernel.cpp,11489,Unspecified,ARRAY_VS_SINGLETON,Dismissed
/Maxwell/Main/HzApplications/AIT/AIT/Acquisition/AIT2_AcqModule.cpp,11492,Unspecified,ARRAY_VS_SINGLETON,Dismissed
/Maxwell/Main/HzApplications/AIT/AIT/Acquisition/AIT2_AcqModule.cpp,11493,Unspecified,ARRAY_VS_SINGLETON,Dismissed
/Maxwell/Main/HzApplications/AIT/AIT/Acquisition/AIT2_AcqModule.cpp,11494,Unspecified,ARRAY_VS_SINGLETON,Dismissed
/Maxwell/Main/HzApplications/AIT/AIT/Acquisition/AITCD_AcqModule.cpp,11495,Unspecified,ARRAY_VS_SINGLETON,Dismissed
/Maxwell/Main/HzApplications/AIT/AIT/Acquisition/AITCD_AcqModule.cpp,11496,Unspecified,ARRAY_VS_SINGLETON,Dismissed
/Maxwell/Main/HzApplications/AIT/AIT/Acquisition/AITCD_AcqModule.cpp,11497,Unspecified,ARRAY_VS_SINGLETON,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/valarray,11672,Unspecified,ARRAY_VS_SINGLETON,Dismissed
/Maxwell/Main/AppCore/AUL/AUL_TelDumpUtil.cpp,11739,Unspecified,CHECKED_RETURN,New
/Maxwell/Main/HzApplications/DVDxTCommon/IntegrationTestUtilities/DVDxTCommon_InstallDirectoryHelper.cpp,11758,Unspecified,CHECKED_RETURN,Dismissed
/Maxwell/Main/HzApplications/PSP_PL/PRMC/psp_can/pspCanDriver.cpp,11794,Minor,CHECKED_RETURN,Dismissed
/Maxwell/Main/HzFramework/Dex/Common/DLISFile.cpp,11832,Minor,CHECKED_RETURN,Dismissed
