File,LOC,Coverage
hzapi\include\hzpropertyosddcodes.h,89,100
hzframework\common\rigtimezone\rigtimezoneutility\rigtimezoneutility.cpp,44,18.18182
hzapi\include\absentimpl.h,51,37.2549
c:\program files (x86)\windows kits\8.1\include\shared\winerror.h,1,0
hzframework\common\rigtimezone\rigtimezoneutility\rigtimezonecorewrapper.cpp,86,0
c:\program files (x86)\windows kits\8.1\include\um\unknwnbase.h,3,100
hzproducts\genericcomponents\logcomponents\lgroutines\unitsystem\lgctxlistwrapper.cs,310,15.48387
hzproducts\genericcomponents\logcomponents\lgroutines\lgcontexthelper.cs,333,0
hzproducts\genericcomponents\logcomponents\lgroutines\indexscale\scalehelper.cs,328,0
hzproducts\genericcomponents\logcomponents\lgroutines\lgservercomparer.cs,126,0
hzproducts\genericcomponents\logcomponents\lgroutines\unitsystem\unitsystemhelper.cs,297,12.79461
hzproducts\genericcomponents\logcomponents\lgroutines\indexscale\indexgridlookup.cs,30,0
hzproducts\genericcomponents\logcomponents\lgroutines\comptr.cs,24,0
hzproducts\genericcomponents\logcomponents\lgroutines\indexscale\scaledef.cs,13,0
hzproducts\genericcomponents\logcomponents\lgroutines\lgserverrigtimeoffset.cs,13,61.53846
hzframework\computationtest\integrationtest\tools\collectiondataaccessor\datadefs.cs,340,0
hzframework\computationtest\integrationtest\tools\collectiondataaccessor\dataprocess.cs,276,0
hzframework\computationtest\integrationtest\tools\collectiondataaccessor\commondef.cs,5,0
hzframework\computationtest\integrationtest\tools\collectiondataaccessor\collectionclolumndef.cs,112,83.03571
hzframework\computationtest\integrationtest\fakedsc\dbspecutility.cs,22,95.45454
hzframework\computationtest\integrationtest\fakedsc\dscinmemory.cs,214,90.65421
hzframework\computationtest\integrationtest\fakedsc\mockhelper.cs,32,81.25
hzframework\computationtest\integrationtest\fakedsc\toolstringmock.cs,23,91.30434
hzapi\include\utilityimpl.h,154,91.55844
hzframework\utilities\mwdbeutility\mwdbeutility.h,15,46.66667
hzframework\computationtest\integrationtest\testdataadapter\testcasedataloader.cs,28,89.28571
thirdparty\prebuiltbinaries\hzdb\hzfwkutils\datastore\databases\hzdb\targets\slbunits.h,1269,100
hzframework\computationtest\integrationtest\fakemodule\commondef.h,10,100
hzapi\include\messagingconstants.h,56,96.42857
hzframework\computationtest\integrationtest\fakemodule\fakedepthmodule.h,1,0
hzframework\computationtest\integrationtest\fakemodule\configurablefakemodulebase.cpp,336,0.297619
hzframework\computationtest\integrationtest\fakemodule\configurableacqfakemodules.h,12,8.333333
hzframework\computationtest\integrationtest\fakemodule\configurablefakemodulebase.h,17,0
hzframework\computationtest\integrationtest\fakemodule\fakedepthcursortestmodule.cpp,52,0
hzframework\computationtest\integrationtest\fakemodule\fakedepthmodule.cpp,66,0
hzapi\include\calitypesimpl.h,5,100
hzapi\include\channelimpl.h,2,100
hzframework\computationtest\integrationtest\fakemodule\configurablemoduleacq.cpp,2,0
hzframework\computationtest\integrationtest\fakemodule\grcal2gracqfakemodule.h,6,0
hzapi\include\calibrationimpl.h,3,100
hzframework\computationtest\integrationtest\fakemodule\fakedepthcursortestmodule.h,2,50
hzframework\computationtest\integrationtest\fakemodule\fakestationmodle.cpp,29,0
hzframework\computationtest\integrationtest\fakemodule\fakedepthsinglestepmodule.cpp,46,0
hzframework\computationtest\integrationtest\fakemodule\channeldefinition.h,12,50
hzframework\computationtest\integrationtest\fakemodule\fakestationmodule.h,1,0
hzframework\computationtest\integrationtest\fakemodule\fakemodule.cpp,16,100
hzframework\computationtest\integrationtest\fakemodule\fakedepthsinglestepmodule.h,2,50
hzframework\computationtest\integrationtest\fakemodule\faketimecalimodle.cpp,29,0
hzframework\computationtest\integrationtest\fakemodule\fakedepthalternateinputmodule.cpp,52,0
hzframework\computationtest\integrationtest\fakemodule\fakemodule.h,1,100
c:\program files (x86)\windows kits\8.1\include\shared\guiddef.h,12,25
hzapi\include\slberror.h,9,0
hzframework\computationtest\integrationtest\fakemodule\grcal2gracqfakemodule.cpp,8,0
hzapi\include\domainimpl.h,4,100
hzframework\computationtest\integrationtest\fakemodule\faketimecalimodle.h,1,0
hzframework\computationtest\integrationtest\fakemodule\fakedepthalternateinputmodule.h,1,0
hzframework\common\localcomputationservice\lcservice.cpp,488,35.45082
hzframework\common\localcomputationservice\lcdefinition\channel.cpp,145,92.4138
hzfwkutils\pythonwrapper\pythonwrapper\icalculator.h,1,100
hzframework\common\localcomputationservice\lcdefinition\lcdefinition.cpp,113,83.18584
hzframework\include\dsclock.h,41,97.56097
hzframework\common\localcomputationservice\lcdefinition\variable.cpp,78,85.89744
hzframework\common\localcomputationservice\lcdefinition\property.cpp,38,92.10526
hzframework\include\dscroutines.h,633,53.08057
hzframework\common\localcomputationservice\lcdefinition\channel.h,1,100
thirdparty\prebuiltbinaries\hzdb\hzfwkutils\include\dsc_doc_tokens.h,13,100
hzframework\common\localcomputationservice\lcdefinition\formulas.h,1,100
hzframework\common\localcomputationservice\lcdefinition\variable.h,1,100
hzframework\common\localcomputationservice\lcdefinition\parameter.cpp,120,93.33334
hzframework\common\localcomputationservice\lcdefinition\properties.cpp,59,100
hzframework\common\localcomputationservice\lcdefinition\inputs.cpp,144,100
hzframework\common\localcomputationservice\lcdefinition\outputs.cpp,62,100
hzapi\include\cstringbuffer.h,43,72.09303
hzframework\common\localcomputationservice\lcdefinition\formulas.cpp,53,100
hzframework\common\localcomputationservice\lcservice.h,4,100
hzframework\common\localcomputationservice\lcdefinition\outputs.h,1,100
hzframework\common\localcomputationservice\lcdefinition\lcdefinition.h,1,100
hzframework\common\localcomputationservice\lcdefinition\properties.h,1,100
hzframework\common\localcomputationservice\lcdefinition\property.h,1,100
hzframework\common\localcomputationservice\lcdefinition\parameter.h,1,100
hzframework\include\utils.h,3,100
hzframework\common\localcomputationservice\lcdefinition\inputs.h,1,100
hzfwkutils\pythonwrapper\pythonwrapper\scriptoperation.cpp,126,96.03175
hzfwkutils\pythonwrapper\pythonwrapper\pythonwrapper.cpp,230,75.21739
hzfwkutils\pythonwrapper\pythonwrapper\icalculator.cpp,9,100
hzfwkutils\pythonwrapper\pythonwrapper\pythonwrapper.h,19,100
hzproducts\managers\localcomputationmanager\localcomputationmanager\presentation\localcomputationpresenter.cs,407,73.46437
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\localcomputationuip.cs,350,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\datagridviewex.cs,89,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\linenumberbar.cs,115,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\presentation\promptmessage.cs,12,91.66666
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\view.cs,94,84.04256
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\localcomputationform.cs,6,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\richtextboxex.cs,11,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\localcomputationform.designer.cs,13,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\richtextboxex.designer.cs,21,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\localcomputationuip.designer.cs,422,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\datagridviewex.designer.cs,6,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\columndefine.cs,2,100
hzproducts\utilities\headertypeproperty\headertypeosddparamvalue.cs,87,63.21839
