Project Name,Checkpoint Name,Created On,File Name,Lines,Statements,Percent Comment Lines,Percent Documentation Lines,"Classes, Interfaces, Structs",Methods per Class,Calls per Method,Statements per Method,Line Number of Most Complex Method*,Name of Most Complex Method*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\AssemblyInfo.cs,35,15,45.7,0.0,0,0.00,0.00,0.00,,,0,1,0,0.00,0.00,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Global.asax.cs,12,5,0.0,0.0,1,1.00,1.00,1.00,7,WebApiApplication.Application_Start(),1,9,2,0.60,1.00,3,1,1,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\App_Start\WebApiConfig.cs,26,10,0.0,0.0,1,1.00,4.00,4.00,9,WebApiConfig.Register(HttpConfiguration config),1,11,2,0.90,1.00,5,1,4,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Controllers\CallstackAnalysisController.cs,87,61,1.1,0.0,1,3.00,12.67,14.00,35,"CallstackAnalysisController.AnalyzeCallstackAsync(string data, ExceptionResult result)",10,75,6,2.07,4.00,14,5,19,14,5,3,1,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Controllers\DumpAnalysisController.cs,38,25,0.0,0.0,1,3.00,1.00,4.33,23,"DumpAnalysisController.AnalyzeDumpFileAsync(string dumppath, DumpResult result)",4,14,2,1.24,2.00,7,5,13,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Controllers\DumpUploaderController.cs,95,61,0.0,0.0,2,2.00,9.75,8.75,23,DumpUploaderController.Post(),5,86,5,1.79,2.80,16,7,22,8,6,2,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Controllers\ExceptionAnalysisController.cs,114,81,0.9,0.0,1,4.00,13.00,15.75,28,"ExceptionAnalysisController.AnalyzeDumpFileAsync(string dumppath, ExceptionResult result)",14,96,6,2.26,4.25,12,6,29,22,8,3,1,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Controllers\MiniDumpAnalysis.cs,132,100,0.0,0.0,1,8.00,7.75,9.75,18,"MiniDumpAnalysis.GetJobInformation(AnalyticsContext analytics, Guid? jobguid)",9,35,3,1.67,3.75,14,8,75,3,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Controllers\ProcessAnalysisController.cs,60,41,0.0,0.0,1,3.00,3.33,9.33,24,"ProcessAnalysisController.AnalyzeDumpFileAsync(string dumppath, ProcessResult result)",4,43,3,1.63,2.00,8,5,22,6,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Controllers\ProductAnalysisController.cs,67,47,0.0,0.0,1,3.00,6.33,10.33,27,"ProductAnalysisController.AnalyzeDumpFileAsync(string dumppath, ProductResult result)",6,54,4,1.74,2.67,11,5,19,9,3,0,0,0,0,0
