Project Name,Checkpoint Name,Created On,EncodedFileName,Lines,Statements,Percent Comment Lines,Percent Documentation Lines,"Classes, Interfaces, Structs",Methods per Class,Calls per Method,Statements per Method,Line Number of Most Complex Method*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
temp_horizon_csharp,source,20-Dec-16,96ca4c76ddaa5e30b0fd2c66a17ab8748bffd009086571a6fb685afc16078f37,35,15,45.7,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,593980ee2f5f00cf42b1f08fb25092a066a7e67f0ed6f10a67e24152aff14eff,12,5,0,0,1,1,1,1,7,1,9,2,0.6,1,3,1,1,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,bbc6624c3573388429bd8d7a6aa1d2fae4311d79b07b8714dd1e4da3a829a0b0,26,10,0,0,1,1,4,4,9,1,11,2,0.9,1,5,1,4,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,9871b9e3116ba8d9e432d18a039f67164d82c4e2a5e5e096776119f45c12d198,87,61,1.1,0,1,3,12.67,14,35,10,75,6,2.07,4,14,5,19,14,5,3,1,0,0,0
temp_horizon_csharp,source,20-Dec-16,c2f937530771c2828734011100d7e8476c101e5c476e90fedfde2a09d202f317,38,25,0,0,1,3,1,4.33,23,4,14,2,1.24,2,7,5,13,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,a579f13be597a4dc151cfaaca15de4d7580c7717779991d0a60decf29ef1319c,95,61,0,0,2,2,9.75,8.75,23,5,86,5,1.79,2.8,16,7,22,8,6,2,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,1c650e6b821add2635d1031aeaaa06d239be5a8396293a42f6f29ab092dde532,114,81,0.9,0,1,4,13,15.75,28,14,96,6,2.26,4.25,12,6,29,22,8,3,1,0,0,0
temp_horizon_csharp,source,20-Dec-16,7822c9aef7e5eb21b504ee63ab40e7f8be9114e4ff8ffd25ad165d0369c9c6b4,132,100,0,0,1,8,7.75,9.75,18,9,35,3,1.67,3.75,14,8,75,3,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,feab338630cb01fb30fb141a0030d7836d37e35a89431448c9a2e2c778519bc7,60,41,0,0,1,3,3.33,9.33,24,4,43,3,1.63,2,8,5,22,6,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,79ed8ecb06c7dddb27a8b61e54936306879fbb85241ed486bdff495276e3b61b,67,47,0,0,1,3,6.33,10.33,27,6,54,4,1.74,2.67,11,5,19,9,3,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,5b6379631f6db15c6da3700cf924705f32e5f968073ca61442a90a7970b46e0e,124,107,0,0,4,7.25,0.93,1.1,38,4,8,3,1.64,1.3,7,29,66,5,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,43f841617f686530ede947a0ac9c49700d0ae81542431612cde3b2b82df5866d,14,21,0,0,1,6,0,0,7,1,7,2,1.43,1,3,6,12,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,4a79785340a5cc2880cbcda9451bf75695752e9a61cdabc60ccb4164e3c08fae,23,30,0,0,1,9,0,0.22,7,1,13,2,1.5,1,3,9,18,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,f201284ccac4a580648d2bfce0b6b40affe939f93cb783356de4b52c7139cbdb,16,32,0,0,1,10,0,0,5,1,5,2,1.56,1,2,10,20,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,8e42fafd7ddfda1678a81ac45b51e8e99d8e03fc75c0e4b90993282f97e67e0b,12,17,0,0,1,5,0,0,6,1,6,2,1.47,1,2,5,10,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,e0624cef04160c92cfca38f0e360e3fc7993e17b3d66581e728b5104e0e19e58,11,12,0,0,1,3,0,0,7,1,7,2,1.25,1,3,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,5f83b99763c78b7d7eb3faf5ee63cea94818d7263c3c3a80f353c021dc9478f8,104,106,1,0,4,7.5,0.6,0.77,38,4,8,3,1.62,1.19,7,30,65,4,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,c15fc6b852e3d566a16bb132d222a2d56d045363c08d56a4778b368a0dc55957,36,15,47.2,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,e44d7dff43b122b1a1f8f032680726300b1d4dc496eea6fc4f402f1fea33a896,14,21,0,0,1,6,0,0,7,1,7,2,1.43,1,3,6,12,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,ea483d12c5790b86cb91a6944a2836b2b54728450ba4246314aed7a729b4aae3,23,30,0,0,1,9,0,0.22,7,1,13,2,1.5,1,3,9,18,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,f3f588772f1e64840999d81c5e95cca3bcfda210c362584eaf761dbb5d53c551,16,32,0,0,1,10,0,0,5,1,5,2,1.56,1,2,10,20,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,b0b512d18b61ef22d6d46f7653ed0df142c522ad45e126e79b13cce49c32b414,12,13,0,0,1,3,0,0,8,1,8,2,1.15,1,4,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,e107fd0835ebb2f84b858107e846002e77a976ed44b395a3b5fe0ae81312c8f8,11,12,0,0,1,3,0,0,7,1,7,2,1.25,1,3,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,4c1c8cd1d62d2adcd61121fae54f7c16c8ceb3add38ddd91c5cd8b7ca80c723c,123,83,1.6,0,2,6,4.42,4.33,13,1,15,2,1.49,1,11,20,52,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,64bdc6126f2d8c3f231674475fd088c60a971e681fd320e8df165c330b103008,36,15,47.2,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,ab5a7af89bb75b8c7706f1e546396ed8cd05373665c8cb9eb3393dd1332555b6,97,43,6.2,0,2,3.5,2.43,3,15,1,17,2,1.23,1,11,11,21,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,dafb769d32376520a0b40fc5c66fe88ee15d040af6a4e8f2c52616871f3889a7,36,15,47.2,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,61671a7608db11f6efb2192ed57895944852aef0a11bdd08544dadcdd660e102,11,6,0,0,1,0,0,0,,0,9,1,0.17,0,5,1,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,a5c884380396f9826c1f47e8ad21696fec7e82c8286ac53132fa4000329e9382,76,48,0,0,1,10,2,2.7,18,1,34,4,1.54,1,14,5,20,7,2,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,f53c9ba049f3315fa1ae48b7e98be895823b89985c9def85ee9ba0125d3f788c,68,48,0,0,1,4,4.5,6,43,6,58,4,1.5,2.75,8,14,21,4,1,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,9ca5fbacb38c93aba9cda5868e5a91b1e3ec3b15509f3bdb3bb9f194780394ef,54,38,0,0,1,3,4,6,32,5,45,4,1.45,2.67,8,10,16,3,1,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,a47e1377d37be58abbcfc3be9dae5b1ff8a55dcbba8a2375db2d22569037f691,200,110,1.5,0,3,6,3.94,3.67,134,5,127,4,1.8,1.43,14,20,51,24,1,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,6b2195ba89eb4d30684d2e04059e5769e27d45dd642770d92368c314782fd1e1,26,17,0,0,1,2,6.5,6,6,1,8,2,1.53,1,3,2,12,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,f41e2c5a995405ad903dcea49b4bb5ca587d72fa6f936f2bc70e6b1c459a0c16,39,40,2.6,0,4,2.75,0,0,9,1,9,2,1.38,1,7,11,22,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,13f1577cce8bc0aa7689aee87e62dfe4ad3f63a9b843010d168b241865cefbdc,262,125,1.1,0,1,10,9.5,10.3,43,7,57,5,2.06,3.4,10,12,71,26,4,2,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,cc845476b160b15e28588abf8139c48e7ef3818e8ab5e331e6f89c39dc9eb449,59,36,0,0,1,3,2.33,7.33,16,3,28,4,1.67,2,10,4,11,10,1,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,34f5c377b08873ec7096e4658e1667ca31fa522b377287168589b97e62e4ebec,150,77,1.3,0,1,7,8.14,8.43,80,5,37,3,1.78,2.43,11,7,47,12,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,257838390e78ba44f45926c1963b6772f9999897e5ef26f6e592a087fff98432,37,16,45.9,0,0,0,0,0,,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,77ae3572998868e22978f20d784809ca638a03f4bd4d2889fb9cdd2b09358663,33,31,0,0,4,2,0,0,9,1,9,2,1.29,1,7,8,16,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,c6247c65c6c95a9e3c81aed22c03aa5cc4cf749df7730dc775df6e2cd714b0fa,36,15,47.2,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,b2d4ae3ed0cec479743705ab4bae7c111a5722bb685485aa794a2daae7406e61,14,9,0,0,1,0,0,0,,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,c87051c842eb57703168560475752b2b550f52368b17c7fe647260bff715eeda,55,20,0,0,2,3,1.5,0.83,11,1,13,2,0.85,1,8,7,5,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,219103d2a92b2fff959bb102c888da906152eb7cda82c28ff0ad366b16c26a2e,105,53,0,0,1,7,3.29,4.29,29,3,37,5,2.08,1.86,10,7,13,16,6,1,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,ac25ce232588250ec77d35c190396e46edd4bcf4f2fb07315d2d8470312d7708,186,131,14.5,5.4,1,2,12.5,59,13,3,17,3,1.89,2,2,11,117,1,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,2f7a70eb81b13352dafdb748793712b9a930d6b791ae30c6725ebda433cf9843,35,14,48.6,0,0,0,0,0,,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,8da7fcdd1ce50bd48244fc2f3f745ea6a80db04d923cbcc5916b016346c7861a,276,171,0,0,2,8,7.19,8.25,223,11,244,6,2.21,3,13,20,87,32,10,6,3,0,0,0
temp_horizon_csharp,source,20-Dec-16,54c789afa8a7a0f59d62e5a500955b15fabd180f5d2e033b1652803eed4b1d40,234,156,0,0,1,16,3.81,7.81,95,9,39,4,1.99,3,8,23,94,25,6,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,b0b8d090b26498f27b6b13a71cf1431709d9200189adcd425cfcf4f92ef348ee,287,179,23,3.8,1,2,13,77,16,3,20,3,1.85,2,3,22,153,1,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,d27ffe83b0803eab4cf39326f110e02cdf06db6958c8dbfaef67417c7e21fa78,19,9,0,15.8,1,1,3,3,12,1,14,2,0.89,1,4,2,3,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,f5fb1d3edd7dcdb59ba2d487fe247895bb9eee8ebe33a452d03753d3e45a7045,36,15,47.2,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,18a106a6cd0245df3dd0ae1f80140e3c50c5c3b7b9f59315d55fe19e043d2eca,107,42,44.9,0,1,1,28,31,14,11,27,5,2.45,11,10,1,7,10,12,2,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,14cb56189bbd4c032611bb7931ceb6089d490db7934dbddd47110095f3786496,35,14,48.6,0,0,0,0,0,,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,1a66aa6e5a6ea6a0ef6fcc0ac13b6475f45642824afe1ae837fe9db0655de46d,221,175,0.5,0,1,8,17.5,18.75,94,6,104,4,2.22,3.56,11,13,95,38,18,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,cda9d1baf18f4c856a477b5efb1b3bcfded4337787096e642a58a0375ba4240b,53,54,0,0,4,3.5,0,0.29,9,1,9,2,1.33,1,8,20,26,0,0,0,0,0,0,0
